State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ABBOTSFORD,3067.0,Melbourne,,
VIC,BURNLEY,3121.0,Melbourne,,
VIC,CARLTON,3053.0,Melbourne,,
VIC,CARLTON NORTH,3054.0,Melbourne,,
VIC,CLIFTON HILL,3068.0,Melbourne,,
VIC,COLLINGWOOD,3066.0,Melbourne,,
VIC,CREMORNE,3121.0,Melbourne,,
VIC,DOCKLANDS,3008.0,Melbourne,,
VIC,EAST MELBOURNE,3002.0,Melbourne,,
VIC,FITZROY,3065.0,Melbourne,,
VIC,FITZROY NORTH,3068.0,Melbourne,,
VIC,KENSINGTON,3031.0,Melbourne,,
VIC,KENSINGTON SOUTH,3031.0,Melbourne,,KENSINGTON
VIC,MELBOURNE,3000.0,Melbourne,,
VIC,MERRI,3068.0,Melbourne,,FITZROY
VIC,NORTH CARLTON,3054.0,Melbourne,,CARLTON NORTH
VIC,NORTH FITZROY,3068.0,Melbourne,,FITZROY NORTH
VIC,NORTH MELBOURNE,3051.0,Melbourne,,
VIC,PARKVILLE,3052.0,Melbourne,,
VIC,PRINCES HILL,3054.0,Melbourne,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,RICHMOND,3121.0,Melbourne,,
VIC,WEST MELBOURNE,3003.0,Melbourne,,
12,12,12.0,12,12.0,12.0
1,2,,,,
