State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ADVANCETOWN,4211.0,Moncrieff,,
QLD,ASHMORE,4214.0,Moncrieff,,
QLD,BENOWA,4217.0,Moncrieff,,
QLD,BENOWA WATERS,4217.0,Moncrieff,,BENOWA
QLD,BROADBEACH,4218.0,Moncrieff,,
QLD,BROADBEACH WATERS,4218.0,Moncrieff,,
QLD,BUNDALL,4217.0,Moncrieff,,
QLD,CARRARA,4211.0,Moncrieff,,
QLD,CHEVRON ISLAND,4217.0,Moncrieff,,SURFERS PARADISE
QLD,FLORIDA GARDENS,4218.0,Moncrieff,,BROADBEACH WATERS
QLD,GILSTON,4211.0,Moncrieff,,
QLD,HIGHLAND PARK,4211.0,Moncrieff,,
QLD,ISLE OF CAPRI,4217.0,Moncrieff,,SURFERS PARADISE
QLD,MAIN BEACH,4217.0,Moncrieff,,
QLD,MERMAID BEACH,4218.0,Moncrieff,,
QLD,MERMAID WATERS,4218.0,Moncrieff,,
QLD,MERRIMAC,4226.0,Moncrieff,,
QLD,MIAMI,4220.0,Moncrieff,,
QLD,MOLENDINAR,4214.0,Moncrieff,,
QLD,NERANG,4211.0,Moncrieff,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,NOBBYS BEACH,4218.0,Moncrieff,,MERMAID BEACH
QLD,PARADISE ISLAND,4217.0,Moncrieff,,SURFERS PARADISE
QLD,PARADISE WATERS,4217.0,Moncrieff,,SURFERS PARADISE
QLD,SORRENTO,4217.0,Moncrieff,,BUNDALL
QLD,SOUTHPORT,4215.0,Moncrieff,,
QLD,SURFERS PARADISE,4217.0,Moncrieff,,
QLD,WORONGARY,4213.0,Moncrieff,,
12,12,12.0,12,12.0,12
1,2,,,,
