State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,BELDON,6027,Moore,,
WA,BURNS BEACH,6028,Moore,,
WA,CONNOLLY,6027,Moore,,
WA,CRAIGIE,6025,Moore,,
WA,CURRAMBINE,6028,Moore,,
WA,DUNCRAIG,6023,Moore,,
WA,EDGEWATER,6027,Moore,,
WA,HEATHRIDGE,6027,Moore,,
WA,HILLARYS,6025,Moore,,
WA,ILUKA,6028,Moore,,
WA,JOONDALUP,6027,Moore,,
WA,KALLAROO,6025,Moore,,
WA,KINGSLEY,6026,Moore,,
WA,KINROSS,6028,Moore,,
WA,MARMION,6020,Moore,,
WA,MULLALOO,6027,Moore,,
WA,OCEAN REEF,6027,Moore,,
WA,PADBURY,6025,Moore,,
WA,SORRENTO,6020,Moore,,
WA,WOODVALE,6026,Moore,,
