State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ABERDEEN,2336,New England,,
NSW,ABERFOYLE,2350,New England,,
NSW,ABINGTON,2350,New England,,
NSW,ACACIA CREEK,2476,New England,,
NSW,AMOSFIELD,2372,New England,,
NSW,APPLEBY,2340,New England,,
NSW,ARDGLEN,2338,New England,,
NSW,ARDING,2358,New England,,
NSW,ARMIDALE,2350,New England,,
NSW,ARMIDALE,2351,New England,,
NSW,ASHFORD,2361,New England,,
NSW,ATHOLWOOD,2361,New England,,
NSW,ATTUNGA,2345,New England,,
NSW,AUBURN VALE,2360,New England,,
NSW,BACK CREEK,2372,New England,,
NSW,BACK CREEK,2390,New England,,
NSW,BACKWATER,2365,New England,,
NSW,BAKERS CREEK,2359,New England,,
NSW,BALALA,2358,New England,,
NSW,BALD BLAIR,2365,New England,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
