State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALMONDS,3727,Nicholls,,
VIC,ARCADIA,3631,Nicholls,,
VIC,ARCADIA SOUTH,3631,Nicholls,,
VIC,ARDMONA,3629,Nicholls,,
VIC,AVENEL,3664,Nicholls,,
VIC,BAILIESTON,3608,Nicholls,,
VIC,BALLENDELLA,3561,Nicholls,,
VIC,BAMAWM,3561,Nicholls,,
VIC,BAMAWM EXTENSION,3564,Nicholls,,
VIC,BARMAH,3639,Nicholls,,
VIC,BATHUMI,3730,Nicholls,,
VIC,BEARII,3641,Nicholls,,
VIC,BONN,3561,Nicholls,,
VIC,BOOMAHNOOMOONAH,3728,Nicholls,,
VIC,BOOSEY,3730,Nicholls,,
VIC,BOWEYA NORTH,3675,Nicholls,,
VIC,BOXWOOD,3725,Nicholls,,
VIC,BROADFORD,3658,Nicholls,,
VIC,BUNBARTHA,3634,Nicholls,,
VIC,BUNDALONG,3730,Nicholls,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
