State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ARTARMON,2064,North Sydney,,
NSW,BORONIA PARK,2111,North Sydney,,GLADESVILLE
NSW,CAMMERAY,2062,North Sydney,,
NSW,CASTLECRAG,2068,North Sydney,,
NSW,CHATSWOOD,2067,North Sydney,,
NSW,CHATSWOOD WEST,2067,North Sydney,,
NSW,CREMORNE,2090,North Sydney,,
NSW,CROWS NEST,2065,North Sydney,,
NSW,GLADESVILLE,2111,North Sydney,,
NSW,GORE HILL,2065,North Sydney,,ARTARMON
NSW,GORE HILL,2065,North Sydney,,LANE COVE
NSW,GORE HILL,2065,North Sydney,,ST LEONARDS
NSW,GREENWICH,2065,North Sydney,,
NSW,HENLEY,2111,North Sydney,,
NSW,HUNTERS HILL,2110,North Sydney,,
NSW,HUNTLEYS COVE,2111,North Sydney,,
NSW,HUNTLEYS POINT,2111,North Sydney,,
NSW,KIRRIBILLI,2061,North Sydney,,
NSW,LANE COVE,2066,North Sydney,,
NSW,LANE COVE NORTH,2066,North Sydney,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,LANE COVE WEST,2066,North Sydney,,
NSW,LAVENDER BAY,2060,North Sydney,,
NSW,LINLEY POINT,2066,North Sydney,,
NSW,LONGUEVILLE,2066,North Sydney,,
NSW,MCMAHONS POINT,2060,North Sydney,,
NSW,MIDDLE COVE,2068,North Sydney,,
NSW,MILSONS POINT,2061,North Sydney,,
NSW,MONASH PARK,2111,North Sydney,,GLADESVILLE
NSW,NAREMBURN,2065,North Sydney,,
NSW,NEUTRAL BAY,2089,North Sydney,,
NSW,NORTH SYDNEY,2060,North Sydney,,
NSW,NORTH WILLOUGHBY,2068,North Sydney,,
NSW,NORTHBRIDGE,2063,North Sydney,,
NSW,NORTHWOOD,2066,North Sydney,,
NSW,RIVERVIEW,2066,North Sydney,,
NSW,ST LEONARDS,2065,North Sydney,,
NSW,TAMBOURINE BAY,2066,North Sydney,,LONGUEVILLE
NSW,TAMBOURINE BAY,2066,North Sydney,,RIVERVIEW
NSW,TARBAN,2111,North Sydney,,HUNTLEYS COVE
NSW,WAVERTON,2060,North Sydney,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,WILLOUGHBY,2068,North Sydney,,
NSW,WILLOUGHBY EAST,2068,North Sydney,,
NSW,WOLLSTONECRAFT,2065,North Sydney,,
NSW,WOOLWICH,2110,North Sydney,,
123,123,123,123,123.0,123.0
1,2,3,,,
