State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ADAMSVALE,6375,O'Connor,,
WA,ALBANY,6330,O'Connor,,
WA,ALDERSYDE,6306,O'Connor,,
WA,ALLANSON,6225,O'Connor,,
WA,AMELUP,6338,O'Connor,,
WA,ARTHUR RIVER,6315,O'Connor,,
WA,BADGEBUP,6317,O'Connor,,
WA,BALBARRUP,6258,O'Connor,,
WA,BALLADONIA,6443,O'Connor,,
WA,BALLAYING,6315,O'Connor,,
WA,BANDY CREEK,6450,O'Connor,,
WA,BANDYA,6440,O'Connor,,
WA,BANNISTER,6390,O'Connor,,
WA,BAYONET HEAD,6330,O'Connor,,
WA,BEADELL,6440,O'Connor,,
WA,BEAUFORT RIVER,6394,O'Connor,,
WA,BEAUMONT,6450,O'Connor,,
WA,BEEDELUP,6260,O'Connor,,
WA,BEENONG,6353,O'Connor,,
WA,BENJINUP,6255,O'Connor,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
