State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,AUGUSTINE HEIGHTS,4300.0,Oxley,,
QLD,BELLBIRD PARK,4300.0,Oxley,,
QLD,BROOKWATER,4300.0,Oxley,,
QLD,CAMIRA,4300.0,Oxley,,
QLD,CAROLE PARK,4300.0,Oxley,,
QLD,COLLINGWOOD PARK,4301.0,Oxley,,
QLD,DARRA,4076.0,Oxley,,
QLD,DOOLANDELLA,4077.0,Oxley,,
QLD,DURACK,4077.0,Oxley,,
QLD,ELLEN GROVE,4078.0,Oxley,,
QLD,FOREST LAKE,4078.0,Oxley,,
QLD,GAILES,4300.0,Oxley,,
QLD,GOODNA,4300.0,Oxley,,
QLD,HEATHWOOD,4110.0,Oxley,,
QLD,INALA,4077.0,Oxley,,
QLD,JAMBOREE HEIGHTS,4074.0,Oxley,,
QLD,JINDALEE,4074.0,Oxley,,
QLD,LARAPINTA,4110.0,Oxley,,
QLD,MIDDLE PARK,4074.0,Oxley,,
QLD,MOUNT OMMANEY,4074.0,Oxley,,
12,12,12.0,12,12.0,12.0
1,2,,,,
QLD,OXLEY,4075.0,Oxley,,
QLD,PALLARA,4110.0,Oxley,,
QLD,REDBANK,4301.0,Oxley,,
QLD,REDBANK PLAINS,4301.0,Oxley,,
QLD,RICHLANDS,4077.0,Oxley,,
QLD,RIVERHILLS,4074.0,Oxley,,
QLD,SEVENTEEN MILE ROCKS,4073.0,Oxley,,
QLD,SINNAMON PARK,4073.0,Oxley,,
QLD,SPRINGFIELD,4300.0,Oxley,,
QLD,SPRINGFIELD LAKES,4300.0,Oxley,,
QLD,SUMNER,4074.0,Oxley,,
QLD,WACOL,4076.0,Oxley,,
QLD,WESTLAKE,4074.0,Oxley,,
12,12,12.0,12,12.0,12.0
1,2,,,,
