State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AFTERLEE,2474,Page,,
NSW,ALICE,2469,Page,,
NSW,ALSTONVALE,2477,Page,,
NSW,ALSTONVILLE,2477,Page,,
NSW,ALUMY CREEK,2460,Page,,
NSW,ANGOURIE,2464,Page,,
NSW,ARRAWARRA,2456,Page,,
NSW,ARRAWARRA HEADLAND,2456,Page,,
NSW,ASHBY,2463,Page,,
NSW,ASHBY HEIGHTS,2463,Page,,
NSW,ASHBY ISLAND,2463,Page,,
NSW,AVOCADO HEIGHTS,2456,Page,,EMERALD BEACH
NSW,BABYL CREEK,2470,Page,,
NSW,BACKMEDE,2470,Page,,
NSW,BAGOTVILLE,2477,Page,,
NSW,BANYABBA,2469,Page,,
NSW,BARKERS VALE,2474,Page,,
NSW,BARRETTS CREEK,2460,Page,,
NSW,BARYULGIL,2460,Page,,
NSW,BEAN CREEK,2469,Page,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
