State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALBERT,2873,Parkes,,
NSW,ANGLEDOOL,2832,Parkes,,
NSW,ARMATREE,2828,Parkes,,
NSW,ASHLEY,2400,Parkes,,
NSW,BAAN BAA,2390,Parkes,,
NSW,BABINDA,2831,Parkes,,
NSW,BALFOURS PEAK,2403,Parkes,,
NSW,BALLADORAN,2822,Parkes,,
NSW,BALLIMORE,2830,Parkes,,
NSW,BANOON,2347,Parkes,,
NSW,BARADINE,2396,Parkes,,
NSW,BARRINGUN,2840,Parkes,,
NSW,BARWON,2396,Parkes,,
NSW,BEARBONG,2827,Parkes,,
NSW,BEEMUNNEL,2824,Parkes,,
NSW,BELLATA,2397,Parkes,,
NSW,BENI,2830,Parkes,,
NSW,BENOLONG,2830,Parkes,,
NSW,BERRIGAL,2397,Parkes,,
NSW,BIDDON,2827,Parkes,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
