State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,CAMELLIA,2142.0,Parramatta,,
NSW,CARLINGFORD,2118.0,Parramatta,,
NSW,CLYDE,2142.0,Parramatta,,
NSW,CONSTITUTION HILL,2145.0,Parramatta,,
NSW,DUNDAS,2117.0,Parramatta,,
NSW,DUNDAS VALLEY,2117.0,Parramatta,,
NSW,ERMINGTON,2115.0,Parramatta,,
NSW,GRANVILLE,2142.0,Parramatta,,
NSW,GUILDFORD,2161.0,Parramatta,,
NSW,HARRIS PARK,2150.0,Parramatta,,
NSW,HOLROYD,2142.0,Parramatta,,
NSW,MAYS HILL,2145.0,Parramatta,,
NSW,MERRYLANDS,2160.0,Parramatta,,
NSW,NORTH PARRAMATTA,2151.0,Parramatta,,
NSW,NORTH ROCKS,2151.0,Parramatta,,
NSW,NORTHMEAD,2152.0,Parramatta,,
NSW,OATLANDS,2117.0,Parramatta,,
NSW,OLD TOONGABBIE,2146.0,Parramatta,,
NSW,PARRAMATTA,2150.0,Parramatta,,
NSW,PENDLE HILL,2145.0,Parramatta,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,ROSEHILL,2142.0,Parramatta,,
NSW,RYDALMERE,2116.0,Parramatta,,
NSW,SOUTH GRANVILLE,2142.0,Parramatta,,
NSW,SOUTH WENTWORTHVILLE,2145.0,Parramatta,,
NSW,TELOPEA,2117.0,Parramatta,,
NSW,TOONGABBIE,2146.0,Parramatta,,
NSW,WENTWORTHVILLE,2145.0,Parramatta,,
NSW,WESTMEAD,2145.0,Parramatta,,
12,12,12.0,12,12.0,12.0
1,2,,,,
