State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ABERGLASSLYN,2320,Paterson,,
NSW,ABERMAIN,2326,Paterson,,
NSW,ALLANDALE,2320,Paterson,,
NSW,ANAMBAH,2320,Paterson,,
NSW,ANNA BAY,2316,Paterson,,
NSW,ASHTONFIELD,2323,Paterson,,
NSW,BERESFIELD,2322,Paterson,,
NSW,BERRY PARK,2321,Paterson,,
NSW,BISHOPS BRIDGE,2326,Paterson,,
NSW,BLACK HILL,2322,Paterson,,
NSW,BOAT HARBOUR,2316,Paterson,,
NSW,BOBS FARM,2316,Paterson,,
NSW,BUCHANAN,2323,Paterson,,
NSW,BUTTAI,2323,Paterson,,
NSW,CAMPVALE,2318,Paterson,,
NSW,CHISHOLM,2322,Paterson,,
NSW,CLIFTLEIGH,2321,Paterson,,
NSW,CORLETTE,2315,Paterson,,
NSW,DUCKENFIELD,2321,Paterson,,
NSW,EAGLETON,2324,Paterson,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
NSW,EAST MAITLAND,2323,Paterson,,
NSW,FARLEY,2320,Paterson,,
NSW,FERN BAY,2295,Paterson,,
NSW,FERODALE,2318,Paterson,,
NSW,FINGAL BAY,2315,Paterson,,
NSW,FISHERMANS BAY,2316,Paterson,,
NSW,FOUR MILE CREEK,2323,Paterson,,ASHTONFIELD
NSW,FULLERTON COVE,2318,Paterson,,
NSW,GILLIESTON HEIGHTS,2321,Paterson,,
NSW,GOSFORTH,2320,Paterson,,
NSW,GRETA,2334,Paterson,,
NSW,HARPERS HILL,2321,Paterson,,
NSW,HEATHERBRAE,2324,Paterson,,
NSW,HEDDON GRETA,2321,Paterson,,
NSW,HEXHAM,2322,Paterson,,
NSW,HORSESHOE BEND,2320,Paterson,,
NSW,KURRI KURRI,2327,Paterson,,
NSW,LEMON TREE PASSAGE,2319,Paterson,,
NSW,LENAGHAN,2322,Paterson,,
NSW,LOCHINVAR,2321,Paterson,,
12345,12345,12345,12345,12345.0,12345
1,2,3,4,5.0,
NSW,LOUTH PARK,2320,Paterson,,
NSW,LOXFORD,2326,Paterson,,
NSW,MAITLAND,2320,Paterson,,
NSW,MALLABULA,2319,Paterson,,
NSW,MEDOWIE,2318,Paterson,,
NSW,METFORD,2323,Paterson,,
NSW,MILLERS FOREST,2324,Paterson,,
NSW,MORPETH,2321,Paterson,,
NSW,MOTTO FARM,2324,Paterson,,HEATHERBRAE
NSW,MOUNT DEE,2320,Paterson,,
NSW,NEATH,2326,Paterson,,
NSW,NELSON BAY,2315,Paterson,,
NSW,OAKHAMPTON,2320,Paterson,,
NSW,OAKHAMPTON HEIGHTS,2320,Paterson,,
NSW,ONE MILE,2316,Paterson,,
NSW,OSWALD,2321,Paterson,,
NSW,OYSTER COVE,2318,Paterson,,
NSW,PELAW MAIN,2327,Paterson,,
NSW,PITNACREE,2323,Paterson,,
NSW,RAAF WILLIAMTOWN,2314,Paterson,,
12345,12345,12345,12345,12345.0,12345
1,2,3,4,5.0,
NSW,RAWORTH,2321,Paterson,,
NSW,RAYMOND TERRACE,2324,Paterson,,
NSW,RICHMOND VALE,2323,Paterson,,
NSW,RUTHERFORD,2320,Paterson,,
NSW,SALAMANDER BAY,2317,Paterson,,
NSW,SALT ASH,2318,Paterson,,
NSW,SAWYERS GULLY,2326,Paterson,,
NSW,SHOAL BAY,2315,Paterson,,
NSW,SOLDIERS POINT,2317,Paterson,,
NSW,SOUTH MAITLAND,2320,Paterson,,
NSW,STANFORD MERTHYR,2327,Paterson,,
NSW,STOCKRINGTON,2322,Paterson,,
NSW,SWAN BAY,2324,Paterson,,
NSW,TANILBA BAY,2319,Paterson,,
NSW,TARRO,2322,Paterson,,
NSW,TAYLORS BEACH,2316,Paterson,,
NSW,TELARAH,2320,Paterson,,
NSW,TENAMBIT,2323,Paterson,,
NSW,THORNTON,2322,Paterson,,
NSW,TOMAGO,2322,Paterson,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
NSW,WESTON,2326,Paterson,,
NSW,WILLIAMTOWN,2318,Paterson,,
NSW,WINDELLA,2320,Paterson,,
NSW,WINDERMERE,2321,Paterson,,
NSW,WOODBERRY,2322,Paterson,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
