State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ALKIMOS,6038,Pearce,,
WA,AVELEY,6069,Pearce,,
WA,AVON VALLEY NATIONAL PARK,6084,Pearce,,
WA,BADGIN,6302,Pearce,,
WA,BAKERS HILL,6562,Pearce,,
WA,BALLADONG,6302,Pearce,,
WA,BALLY BALLY,6304,Pearce,,
WA,BAMBUN,6503,Pearce,,
WA,BANKSIA GROVE,6031,Pearce,,
WA,BASKERVILLE,6056,Pearce,,
WA,BEERMULLAH,6503,Pearce,,
WA,BEJOORDING,6566,Pearce,,
WA,BELHUS,6069,Pearce,,
WA,BEVERLEY,6304,Pearce,,
WA,BINDOON,6502,Pearce,,
WA,BINDOON TRAINING AREA,6502,Pearce,,
WA,BOONANARRING,6503,Pearce,,
WA,BRABHAM,6055,Pearce,,
WA,BREERA,6503,Pearce,,
WA,BRETON BAY,6043,Pearce,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
