State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ASPLEY,4034,Petrie,,
QLD,BALD HILLS,4036,Petrie,,
QLD,BRACKEN RIDGE,4017,Petrie,,
QLD,BRIDGEMAN DOWNS,4035,Petrie,,
QLD,BURPENGARY EAST,4505,Petrie,,
QLD,CARSELDINE,4034,Petrie,,
QLD,CLONTARF,4019,Petrie,,
QLD,DECEPTION BAY,4508,Petrie,,
QLD,FITZGIBBON,4018,Petrie,,
QLD,GRIFFIN,4503,Petrie,,
QLD,KIPPA-RING,4021,Petrie,,
QLD,MANGO HILL,4509,Petrie,,
QLD,MARGATE,4019,Petrie,,
QLD,NARANGBA,4504,Petrie,,
QLD,NEWPORT,4020,Petrie,,
QLD,NORTH LAKES,4509,Petrie,,
QLD,REDCLIFFE,4020,Petrie,,
QLD,ROTHWELL,4022,Petrie,,
QLD,SCARBOROUGH,4020,Petrie,,
QLD,WOODY POINT,4019,Petrie,,
