State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALSTONVALE,2477,Richmond,,
NSW,ALSTONVILLE,2477,Richmond,,
NSW,ANDERSONS HILL,2482,Richmond,,BRUNSWICK HEADS
NSW,BACK CREEK,2484,Richmond,,
NSW,BALLINA,2478,Richmond,,
NSW,BALLINA HEIGHTS,2478,Richmond,,CUMBALUM
NSW,BANGALOW,2479,Richmond,,
NSW,BANORA POINT,2486,Richmond,,
NSW,BILAMBIL,2486,Richmond,,
NSW,BILAMBIL HEIGHTS,2486,Richmond,,
NSW,BILLINUDGEL,2483,Richmond,,
NSW,BINNA BURRA,2479,Richmond,,
NSW,BOGANGAR,2488,Richmond,,
NSW,BOOYONG,2480,Richmond,,
NSW,BRAY PARK,2484,Richmond,,
NSW,BRAYS CREEK,2484,Richmond,,
NSW,BROKEN HEAD,2481,Richmond,,
NSW,BROOKLET,2479,Richmond,,
NSW,BRUNSWICK HEADS,2483,Richmond,,
NSW,BUNGALORA,2486,Richmond,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
