State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ADJUNGBILLY,2727,Riverina,,
NSW,ALECTOWN,2870,Riverina,,
NSW,ALFREDTOWN,2650,Riverina,,
NSW,ALLEENA,2671,Riverina,,
NSW,ALMA PARK,2659,Riverina,,
NSW,ARDLETHAN,2665,Riverina,,
NSW,ARIAH PARK,2665,Riverina,,
NSW,ASHMONT,2650,Riverina,,
NSW,BACK CREEK,2671,Riverina,,
NSW,BARELLAN,2665,Riverina,,
NSW,BARMEDMAN,2668,Riverina,,
NSW,BARWANG,2587,Riverina,,
NSW,BECKOM,2665,Riverina,,
NSW,BECTRIC,2665,Riverina,,
NSW,BEDGERABONG,2871,Riverina,,
NSW,BEGGAN BEGGAN,2587,Riverina,,
NSW,BELFRAYDEN,2650,Riverina,,
NSW,BENDICK MURRELL,2803,Riverina,,
NSW,BERREMANGRA,2582,Riverina,,
NSW,BERRY JERRY,2701,Riverina,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
