State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AVOCA BEACH,2251,Robertson,,
NSW,BAR POINT,2083,Robertson,,
NSW,BENSVILLE,2251,Robertson,,
NSW,BLACKWALL,2256,Robertson,,
NSW,BOOKER BAY,2257,Robertson,,
NSW,BOUDDI,2251,Robertson,,
NSW,BROKEN BAY CAMP,2083,Robertson,,PATONGA
NSW,CALGA,2250,Robertson,,
NSW,CENTRAL MANGROVE,2250,Robertson,,
NSW,CHEERO POINT,2083,Robertson,,
NSW,COGRA BAY,2083,Robertson,,
NSW,COPACABANA,2251,Robertson,,
NSW,DALEYS POINT,2257,Robertson,,
NSW,DAVISTOWN,2251,Robertson,,
NSW,EAST GOSFORD,2250,Robertson,,
NSW,EMPIRE BAY,2257,Robertson,,
NSW,ERINA,2250,Robertson,,
NSW,ERINA HEIGHTS,2260,Robertson,,
NSW,ETTALONG BEACH,2257,Robertson,,
NSW,GLENWORTH VALLEY,2250,Robertson,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NSW,GOSFORD,2250,Robertson,,
NSW,GREEN POINT,2251,Robertson,,
NSW,GREENGROVE,2250,Robertson,,
NSW,GUNDERMAN,2775,Robertson,,
NSW,HARDYS BAY,2257,Robertson,,
NSW,HOLGATE,2250,Robertson,,
NSW,HORSFIELD BAY,2256,Robertson,,
NSW,KARIONG,2250,Robertson,,
NSW,KILLCARE,2257,Robertson,,
NSW,KILLCARE HEIGHTS,2257,Robertson,,
NSW,KINCUMBER,2251,Robertson,,
NSW,KINCUMBER SOUTH,2251,Robertson,,
NSW,KOOLEWONG,2256,Robertson,,
NSW,KULNURA,2250,Robertson,,
NSW,LISAROW,2250,Robertson,,
NSW,LITTLE WOBBY,2256,Robertson,,
NSW,LOWER MANGROVE,2250,Robertson,,
NSW,MACMASTERS BEACH,2251,Robertson,,
NSW,MANGROVE CREEK,2250,Robertson,,
NSW,MANGROVE MOUNTAIN,2250,Robertson,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
NSW,MARLOW,2775,Robertson,,
NSW,MOONEY MOONEY,2083,Robertson,,
NSW,MOONEY MOONEY CREEK,2250,Robertson,,
NSW,MOUNT WHITE,2250,Robertson,,
NSW,NARARA,2250,Robertson,,
NSW,NIAGARA PARK,2250,Robertson,,
NSW,NORTH AVOCA,2260,Robertson,,
NSW,NORTH GOSFORD,2250,Robertson,,
NSW,PATONGA,2256,Robertson,,
NSW,PEARL BEACH,2256,Robertson,,
NSW,PEAT ISLAND,2083,Robertson,,MOONEY MOONEY
NSW,PEATS RIDGE,2250,Robertson,,
NSW,PHEGANS BAY,2256,Robertson,,
NSW,PICKETTS VALLEY,2251,Robertson,,
NSW,POINT CLARE,2250,Robertson,,
NSW,POINT FREDERICK,2250,Robertson,,
NSW,PRETTY BEACH,2257,Robertson,,
NSW,SARATOGA,2251,Robertson,,
NSW,SOMERSBY,2250,Robertson,,
NSW,SPENCER,2775,Robertson,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NSW,SPRINGFIELD,2250,Robertson,,
NSW,ST HUBERTS ISLAND,2257,Robertson,,
NSW,TASCOTT,2250,Robertson,,
NSW,TEN MILE HOLLOW,2250,Robertson,,
NSW,TERRIGAL,2260,Robertson,,
NSW,UMINA BEACH,2257,Robertson,,
NSW,UPPER MANGROVE,2250,Robertson,,
NSW,WAGSTAFFE,2257,Robertson,,
NSW,WAMBERAL,2260,Robertson,,
NSW,WENDOREE PARK,2250,Robertson,,
NSW,WEST GOSFORD,2250,Robertson,,
NSW,WISEMANS FERRY,2775,Robertson,,
NSW,WOBBY BEACH,2083,Robertson,,LITTLE WOBBY
NSW,WONDABYNE,2256,Robertson,,
NSW,WOY WOY,2256,Robertson,,
NSW,WOY WOY BAY,2256,Robertson,,
NSW,YATTALUNGA,2251,Robertson,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
