State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ANSTEAD,4070.0,Ryan,,
QLD,ASHGROVE,4060.0,Ryan,,
QLD,AUCHENFLOWER,4066.0,Ryan,,
QLD,BARDON,4065.0,Ryan,,
QLD,BELLBOWRIE,4070.0,Ryan,,
QLD,BROOKFIELD,4069.0,Ryan,,
QLD,CHAPEL HILL,4069.0,Ryan,,
QLD,DORRINGTON,4060.0,Ryan,,ASHGROVE
QLD,ENOGGERA,4051.0,Ryan,,
QLD,ENOGGERA RESERVOIR,4520.0,Ryan,,
QLD,FERNY GROVE,4055.0,Ryan,,
QLD,FIG TREE POCKET,4069.0,Ryan,,
QLD,GAYTHORNE,4051.0,Ryan,,
QLD,GROVELY,4054.0,Ryan,,KEPERRA
QLD,INDOOROOPILLY,4068.0,Ryan,,
QLD,IRONSIDE,4067.0,Ryan,,ST LUCIA
QLD,KENMORE,4069.0,Ryan,,
QLD,KENMORE HILLS,4069.0,Ryan,,
QLD,KEPERRA,4054.0,Ryan,,
QLD,LAKE MANCHESTER,4306.0,Ryan,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,MITCHELTON,4053.0,Ryan,,
QLD,MOGGILL,4070.0,Ryan,,
QLD,MOUNT COOT-THA,4066.0,Ryan,,
QLD,OXFORD PARK,4053.0,Ryan,,MITCHELTON
QLD,PADDINGTON,4064.0,Ryan,,
QLD,PEEWEE BEND,4520.0,Ryan,,ENOGGERA RESERVOIR
QLD,PINJARRA HILLS,4069.0,Ryan,,
QLD,PRIORS POCKET,4070.0,Ryan,,MOGGILL
QLD,PULLENVALE,4069.0,Ryan,,
QLD,RAINWORTH,4065.0,Ryan,,BARDON
QLD,ROSALIE,4064.0,Ryan,,PADDINGTON
QLD,ST JOHNS WOOD,4060.0,Ryan,,ASHGROVE
QLD,ST LUCIA,4067.0,Ryan,,
QLD,TARINGA,4068.0,Ryan,,
QLD,THE GAP,4061.0,Ryan,,
QLD,TOOWONG,4066.0,Ryan,,
QLD,TORWOOD,4066.0,Ryan,,AUCHENFLOWER
QLD,UPPER BROOKFIELD,4069.0,Ryan,,
QLD,UPPER KEDRON,4055.0,Ryan,,
12,12,12.0,12,12.0,12
1,2,,,,
