State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ADAMSTOWN HEIGHTS,2289,Shortland,,
NSW,BELMONT,2280,Shortland,,
NSW,BELMONT NORTH,2280,Shortland,,
NSW,BELMONT SOUTH,2280,Shortland,,
NSW,BENNETTS GREEN,2290,Shortland,,
NSW,BLACKSMITHS,2281,Shortland,,
NSW,BOOLAROO,2284,Shortland,,
NSW,BUDGEWOI,2262,Shortland,,
NSW,BUDGEWOI PENINSULA,2262,Shortland,,
NSW,BUFF POINT,2262,Shortland,,
NSW,CAMS WHARF,2281,Shortland,,
NSW,CARDIFF,2285,Shortland,,
NSW,CARDIFF HEIGHTS,2285,Shortland,,
NSW,CARDIFF SOUTH,2285,Shortland,,
NSW,CATHERINE HILL BAY,2281,Shortland,,
NSW,CAVES BEACH,2281,Shortland,,
NSW,CHAIN VALLEY BAY,2259,Shortland,,
NSW,CHARLESTOWN,2290,Shortland,,
NSW,COLONGRA,2262,Shortland,,
NSW,CRANGAN BAY,2259,Shortland,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
NSW,CROUDACE BAY,2280,Shortland,,
NSW,DOYALSON,2262,Shortland,,
NSW,DOYALSON NORTH,2262,Shortland,,
NSW,DUDLEY,2290,Shortland,,
NSW,ELEEBANA,2282,Shortland,,
NSW,FLORAVILLE,2280,Shortland,,
NSW,FRAZER PARK,2259,Shortland,,
NSW,FREEMANS,2259,Shortland,,
NSW,GARDEN SUBURB,2289,Shortland,,
NSW,GATESHEAD,2290,Shortland,,
NSW,GWANDALAN,2259,Shortland,,
NSW,HALEKULANI,2262,Shortland,,
NSW,HIGHFIELDS,2289,Shortland,,
NSW,HILLSBOROUGH,2290,Shortland,,
NSW,JEWELLS,2280,Shortland,,
NSW,KAHIBAH,2290,Shortland,,
NSW,KINGFISHER SHORES,2259,Shortland,,
NSW,KOTARA,2289,Shortland,,
NSW,KOTARA SOUTH,2289,Shortland,,
NSW,LAKE MUNMORAH,2259,Shortland,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
NSW,LAKELANDS,2282,Shortland,,
NSW,LITTLE PELICAN,2281,Shortland,,
NSW,MACQUARIE HILLS,2285,Shortland,,
NSW,MANNERING PARK,2259,Shortland,,
NSW,MARKS POINT,2280,Shortland,,
NSW,MOONEE,2259,Shortland,,
NSW,MOUNT HUTTON,2290,Shortland,,
NSW,MURRAYS BEACH,2281,Shortland,,
NSW,NEW LAMBTON HEIGHTS,2305,Shortland,,
NSW,NORDS WHARF,2281,Shortland,,
NSW,PELICAN,2281,Shortland,,
NSW,PINNY BEACH,2281,Shortland,,
NSW,POINT WOLSTONCROFT,2259,Shortland,,
NSW,REDHEAD,2290,Shortland,,
NSW,SAN REMO,2262,Shortland,,
NSW,SPEERS POINT,2284,Shortland,,
NSW,SUMMERLAND POINT,2259,Shortland,,
NSW,SWANSEA,2281,Shortland,,
NSW,SWANSEA HEADS,2281,Shortland,,
NSW,TINGIRA HEIGHTS,2290,Shortland,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
NSW,VALENTINE,2280,Shortland,,
NSW,WARNERS BAY,2282,Shortland,,
NSW,WHITEBRIDGE,2290,Shortland,,
NSW,WINDALE,2306,Shortland,,
NSW,WYBUNG,2259,Shortland,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
