State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ATHELSTONE,5076,Sturt,,
SA,AULDANA,5072,Sturt,,
SA,BEAUMONT,5066,Sturt,,
SA,BEULAH PARK,5067,Sturt,,
SA,BURNSIDE,5066,Sturt,,
SA,CAMPBELLTOWN,5074,Sturt,,
SA,COLLEGE PARK,5069,Sturt,,
SA,DERNANCOURT,5075,Sturt,,
SA,DULWICH,5065,Sturt,,
SA,ERINDALE,5066,Sturt,,
SA,EVANDALE,5069,Sturt,,
SA,FELIXSTOW,5070,Sturt,,
SA,FIRLE,5070,Sturt,,
SA,FREWVILLE,5063,Sturt,,
SA,FULLARTON,5063,Sturt,,
SA,GILLES PLAINS,5086,Sturt,,
SA,GLEN OSMOND,5064,Sturt,,
SA,GLENSIDE,5065,Sturt,,
SA,GLENUNGA,5064,Sturt,,
SA,GLYNDE,5070,Sturt,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,HACKNEY,5069,Sturt,,
SA,HAZELWOOD PARK,5066,Sturt,,
SA,HEATHPOOL,5068,Sturt,,
SA,HECTORVILLE,5073,Sturt,,
SA,HIGHBURY,5089,Sturt,,
SA,HILLCREST,5086,Sturt,,
SA,HOLDEN HILL,5088,Sturt,,
SA,HOPE VALLEY,5090,Sturt,,
SA,JOSLIN,5070,Sturt,,
SA,KENSINGTON,5068,Sturt,,
SA,KENSINGTON GARDENS,5068,Sturt,,
SA,KENSINGTON PARK,5068,Sturt,,
SA,KENT TOWN,5067,Sturt,,
SA,KLEMZIG,5087,Sturt,,
SA,LEABROOK,5068,Sturt,,
SA,LEAWOOD GARDENS,5150,Sturt,,
SA,LINDEN PARK,5065,Sturt,,
SA,MAGILL,5072,Sturt,,
SA,MARDEN,5070,Sturt,,
SA,MARRYATVILLE,5068,Sturt,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,MAYLANDS,5069,Sturt,,
SA,MOUNT OSMOND,5064,Sturt,,
SA,MYRTLE BANK,5064,Sturt,,
SA,NEWTON,5074,Sturt,,
SA,NORWOOD,5067,Sturt,,
SA,OAKDEN,5086,Sturt,,
SA,PARACOMBE,5132,Sturt,,
SA,PARADISE,5075,Sturt,,
SA,PAYNEHAM,5070,Sturt,,
SA,PAYNEHAM SOUTH,5070,Sturt,,
SA,ROSE PARK,5067,Sturt,,
SA,ROSSLYN PARK,5072,Sturt,,
SA,ROSTREVOR,5073,Sturt,,
SA,ROYSTON PARK,5070,Sturt,,
SA,SKYE,5072,Sturt,,
SA,ST GEORGES,5064,Sturt,,
SA,ST MORRIS,5068,Sturt,,
SA,ST PETERS,5069,Sturt,,
SA,STEPNEY,5069,Sturt,,
SA,STONYFELL,5066,Sturt,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,TERINGIE,5072,Sturt,,
SA,TOORAK GARDENS,5065,Sturt,,
SA,TRANMERE,5073,Sturt,,
SA,TRINITY GARDENS,5068,Sturt,,
SA,TUSMORE,5065,Sturt,,
SA,WATERFALL GULLY,5066,Sturt,,
SA,WATTLE PARK,5066,Sturt,,
SA,WINDSOR GARDENS,5087,Sturt,,
SA,WOODFORDE,5072,Sturt,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
