State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALLANSFORD,3277,Wannon,,
VIC,ALLESTREE,3305,Wannon,,
VIC,ALVIE,3249,Wannon,,
VIC,ARARAT,3377,Wannon,,
VIC,ARMSTRONG,3377,Wannon,,
VIC,AYRFORD,3268,Wannon,,
VIC,BAHGALLAH,3312,Wannon,,
VIC,BALINTORE,3249,Wannon,,
VIC,BALLANGEICH,3279,Wannon,,
VIC,BALLYROGAN,3375,Wannon,,
VIC,BALMORAL,3407,Wannon,,
VIC,BARONGAROOK,3249,Wannon,,
VIC,BARONGAROOK WEST,3249,Wannon,,
VIC,BAYINDEEN,3375,Wannon,,
VIC,BEAUFORT,3373,Wannon,,
VIC,BEEAC,3251,Wannon,,
VIC,BELLELLEN,3381,Wannon,,
VIC,BEN NEVIS,3377,Wannon,,EVERSLEY
VIC,BERRAMBOOL,3379,Wannon,,WICKLIFFE
VIC,BERRINGA,3351,Wannon,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
