State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALLAMBIE,2100.0,Warringah,,ALLAMBIE HEIGHTS
NSW,ALLAMBIE HEIGHTS,2100.0,Warringah,,
NSW,BALGOWLAH,2093.0,Warringah,,
NSW,BALGOWLAH HEIGHTS,2093.0,Warringah,,
NSW,BALMORAL,2088.0,Warringah,,MOSMAN
NSW,BEACON HILL,2100.0,Warringah,,
NSW,BEAUTY POINT,2088.0,Warringah,,MOSMAN
NSW,BROOKVALE,2100.0,Warringah,,
NSW,CLIFTON GARDENS,2088.0,Warringah,,MOSMAN
NSW,CLONTARF,2093.0,Warringah,,
NSW,CREMORNE,2090.0,Warringah,,
NSW,CREMORNE POINT,2090.0,Warringah,,
NSW,CURL CURL,2096.0,Warringah,,
NSW,DEE WHY,2099.0,Warringah,,
NSW,FAIRLIGHT,2094.0,Warringah,,
NSW,FORESTVILLE,2087.0,Warringah,,
NSW,FRENCHS FOREST,2086.0,Warringah,,
NSW,FRESHWATER,2096.0,Warringah,,
NSW,HARBORD,2096.0,Warringah,,FRESHWATER
NSW,KILLARNEY HEIGHTS,2087.0,Warringah,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,KURRABA POINT,2089.0,Warringah,,
NSW,MANLY,2095.0,Warringah,,
NSW,MANLY VALE,2093.0,Warringah,,
NSW,MOSMAN,2088.0,Warringah,,
NSW,NARRAWEENA,2099.0,Warringah,,
NSW,NEUTRAL BAY,2089.0,Warringah,,
NSW,NORTH BALGOWLAH,2093.0,Warringah,,
NSW,NORTH CURL CURL,2099.0,Warringah,,
NSW,NORTH HEAD,2095.0,Warringah,,MANLY
NSW,NORTH MANLY,2100.0,Warringah,,
NSW,QUEENSCLIFF,2096.0,Warringah,,
NSW,SEAFORTH,2092.0,Warringah,,
NSW,WINGALA,2099.0,Warringah,,NORTH CURL CURL
12,12,12.0,12,12.0,12
1,2,,,,
