State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALBION PARK,2527,Whitlam,,
NSW,ALBION PARK RAIL,2527,Whitlam,,
NSW,ALPINE,2575,Whitlam,,
NSW,AVOCA,2577,Whitlam,,
NSW,AVON,2530,Whitlam,,
NSW,AVONDALE,2530,Whitlam,,
NSW,AYLMERTON,2575,Whitlam,,
NSW,BALACLAVA,2575,Whitlam,,
NSW,BALARANG,2529,Whitlam,,OAK FLATS
NSW,BARRACK HEIGHTS,2528,Whitlam,,
NSW,BARRACK POINT,2528,Whitlam,,
NSW,BERKELEY,2506,Whitlam,,
NSW,BERRIMA,2577,Whitlam,,
NSW,BERRIMA JUNCTION,2577,Whitlam,,
NSW,BLACKBUTT,2529,Whitlam,,
NSW,BOWRAL,2576,Whitlam,,
NSW,BRAEMAR,2575,Whitlam,,
NSW,BROWNSVILLE,2530,Whitlam,,
NSW,BURRADOO,2576,Whitlam,,
NSW,BURRAWANG,2577,Whitlam,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NSW,CALDERWOOD,2527,Whitlam,,
NSW,CLEVELAND,2530,Whitlam,,
NSW,COACHWOOD PARK,2526,Whitlam,,UNANDERRA
NSW,CRINGILA,2502,Whitlam,,
NSW,CROOM,2527,Whitlam,,
NSW,DAPTO,2530,Whitlam,,
NSW,DOMBARTON,2530,Whitlam,,
NSW,DUNMORE,2529,Whitlam,,
NSW,EAST KANGALOON,2576,Whitlam,,
NSW,EXETER,2579,Whitlam,,
NSW,FARMBOROUGH CHASE,2526,Whitlam,,UNANDERRA
NSW,FARMBOROUGH HEIGHTS,2526,Whitlam,,
NSW,FITZROY FALLS,2577,Whitlam,,
NSW,FLINDERS,2529,Whitlam,,
NSW,GLENQUARRY,2576,Whitlam,,
NSW,HAYWARDS BAY,2530,Whitlam,,
NSW,HORSLEY,2530,Whitlam,,
NSW,HUNTLEY,2530,Whitlam,,
NSW,KANAHOOKA,2530,Whitlam,,
NSW,KANGALOON,2576,Whitlam,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NSW,KEMBLA GRANGE,2526,Whitlam,,
NSW,KOONAWARRA,2530,Whitlam,,
NSW,LAKE HEIGHTS,2502,Whitlam,,
NSW,LAKE ILLAWARRA,2528,Whitlam,,
NSW,LAKE SOUTH,2528,Whitlam,,LAKE ILLAWARRA
NSW,LINDSAY HEIGHTS,2506,Whitlam,,BERKELEY
NSW,MACQUARIE PASS,2577,Whitlam,,
NSW,MANCHESTER SQUARE,2577,Whitlam,,
NSW,MARSHALL MOUNT,2530,Whitlam,,
NSW,MITTAGONG,2575,Whitlam,,
NSW,MOSS VALE,2577,Whitlam,,
NSW,MOUNT MURRAY,2577,Whitlam,,
NSW,MOUNT WARRIGAL,2528,Whitlam,,
NSW,NEW BERRIMA,2577,Whitlam,,
NSW,OAK FLATS,2529,Whitlam,,
NSW,PRIMBEE,2502,Whitlam,,
NSW,RENWICK,2575,Whitlam,,
NSW,ROBERTSON,2577,Whitlam,,
NSW,SHELL COVE,2529,Whitlam,,
NSW,SHELLHARBOUR,2529,Whitlam,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NSW,SHELLHARBOUR CITY CENTRE,2529,Whitlam,,
NSW,SUTTON FOREST,2577,Whitlam,,
NSW,TONGARRA,2527,Whitlam,,
NSW,TULLIMBAR,2527,Whitlam,,
NSW,UNANDERRA,2526,Whitlam,,
NSW,UPPER KANGAROO VALLEY,2577,Whitlam,,
NSW,WARILLA,2528,Whitlam,,
NSW,WELBY,2575,Whitlam,,
NSW,WERAI,2577,Whitlam,,
NSW,WILDES MEADOW,2577,Whitlam,,
NSW,WILLOW VALE,2575,Whitlam,,
NSW,WINDANG,2528,Whitlam,,
NSW,WONGAWILLI,2530,Whitlam,,
NSW,WOODLANDS,2575,Whitlam,,
NSW,YALLAH,2530,Whitlam,,
NSW,YARRUNGA,2577,Whitlam,,
NSW,YELLOW ROCK,2527,Whitlam,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
