State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALDERSHOT,4650,Wide Bay,,
QLD,AMAMOOR,4570,Wide Bay,,
QLD,AMAMOOR CREEK,4570,Wide Bay,,
QLD,ANDERLEIGH,4570,Wide Bay,,
QLD,ANTIGUA,4650,Wide Bay,,
QLD,ARALUEN,4570,Wide Bay,,
QLD,ARAMARA,4620,Wide Bay,,
QLD,BANKS POCKET,4570,Wide Bay,,
QLD,BARAMBAH,4601,Wide Bay,,
QLD,BARLIL,4605,Wide Bay,,
QLD,BAUPLE,4650,Wide Bay,,
QLD,BAUPLE FOREST,4650,Wide Bay,,
QLD,BEAVER ROCK,4650,Wide Bay,,
QLD,BEENAAM VALLEY,4570,Wide Bay,,
QLD,BELLA CREEK,4570,Wide Bay,,
QLD,BELLS BRIDGE,4570,Wide Bay,,
QLD,BIDWILL,4650,Wide Bay,,
QLD,BLACK MOUNTAIN,4563,Wide Bay,,
QLD,BLACK SNAKE,4600,Wide Bay,,
QLD,BLACKMOUNT,4650,Wide Bay,,TIARO
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
