State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ADARE,4343,Wright,,
QLD,ADVANCETOWN,4211,Wright,,
QLD,ALLANDALE,4310,Wright,,
QLD,ALLENVIEW,4285,Wright,,
QLD,ANTHONY,4310,Wright,,
QLD,ARATULA,4309,Wright,,
QLD,AUSTINVILLE,4213,Wright,,
QLD,BALLARD,4352,Wright,,
QLD,BARNEY VIEW,4287,Wright,,
QLD,BEAUDESERT,4285,Wright,,
QLD,BEECHMONT,4211,Wright,,
QLD,BENOBBLE,4275,Wright,,
QLD,BIDDADDABA,4275,Wright,,
QLD,BINNA BURRA,4211,Wright,,
QLD,BIRNAM,4285,Wright,,
QLD,BLACK DUCK CREEK,4343,Wright,,
QLD,BLANCHVIEW,4352,Wright,,
QLD,BLANTYRE,4310,Wright,,
QLD,BLENHEIM,4341,Wright,,
QLD,BONOGIN,4213,Wright,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
