id,name_first,name_last,electorate,party
10007,Anthony,Albanese,Grayndler,Australian Labor Party
10014,Kevin,Andrews,Menzies,Liberal Party
10043,Sharon,Bird,Cunningham,Australian Labor Party
10081,Tony,Burke,Watson,Australian Labor Party
10088,Anthony,Byrne,Holt,Australian Labor Party
10123,Jason,Clare,Blaxland,Australian Labor Party
10136,Julie,Collins,Franklin,Australian Labor Party
10181,Mark,Dreyfus,Isaacs,Australian Labor Party
10188,Peter,Dutton,Dickson,Liberal Party
10195,Justine,Elliot,Richmond,Australian Labor Party
10230,Joel,Fitzgibbon,Hunter,Australian Labor Party
10290,Alex,Hawke,Mitchell,Liberal Party
10319,Greg,Hunt,Flinders,Liberal Party
10326,Steve,Irons,Swan,Liberal Party
10368,Catherine,King,Ballarat,Australian Labor Party
10377,Andrew,Laming,Bowman,Liberal Party
10387,Sussan,Ley,Farrer,Liberal Party
10416,Nola,Marino,Forrest,Liberal Party
10418,Richard,Marles,Corio,Australian Labor Party
10468,Scott,Morrison,Cook,Liberal Party
10485,Shayne,Neumann,Blair,Australian Labor Party
10496,Brendan,O'Connor,Gorton,Australian Labor Party
10503,Julie,Owens,Parramatta,Australian Labor Party
10512,Graham,Perrett,Moreton,Australian Labor Party
10513,Tanya,Plibersek,Sydney,Australian Labor Party
10529,Rowan,Ramsey,Grey,Liberal Party
10543,Amanda,Rishworth,Kingston,Australian Labor Party
10545,Stuart,Robert,Fadden,Liberal Party
10580,Bill,Shorten,Maribyrnong,Australian Labor Party
10599,Warren,Snowdon,Lingiari,Australian Labor Party
10649,Maria,Vamvakinou,Calwell,Australian Labor Party
10695,Tony,Zappia,Makin,Australian Labor Party
10703,Darren,Chester,Gippsland,National Party
10723,Paul,Fletcher,Bradfield,Liberal Party
10726,George,Christensen,Dawson,National Party
10728,Ken,O'Dowd,Flynn,National Party
10729,Bert,Van Manen,Forde,Liberal Party
10730,Ken,Wyatt,Hasluck,Liberal Party
10203,Warren,Entsch,Leichhardt,Liberal Party
10733,Rob,Mitchell,McEwen,Australian Labor Party
10734,Adam,Bandt,Melbourne,Australian Greens
10741,Josh,Frydenberg,Kooyong,Liberal Party
10742,Dan,Tehan,Wannon,Liberal Party
10743,Michael,McCormack,Riverina,National Party
10294,Chris,Hayes,Fowler,Australian Labor Party
10745,Karen,Andrews,McPherson,Liberal Party
10748,Alan,Tudge,Aston,Liberal Party
10749,Ed,Husic,Chifley,Australian Labor Party
10750,Craig,Kelly,Hughes,Liberal Party
10751,Michelle,Rowland,Greenway,Australian Labor Party
10060,Chris,Bowen,McMahon,Australian Labor Party
10752,Scott,Buchholz,Wright,Liberal Party
10651,Ross,Vasta,Bonner,Liberal Party
10783,David,Coleman,Banks,Liberal Party
