State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BAYSWATER,3153,Aston,,
VIC,BORONIA,3155,Aston,,
VIC,FERNTREE GULLY,3156,Aston,,
VIC,KNOXFIELD,3180,Aston,,
VIC,LYSTERFIELD,3156,Aston,,
VIC,MOUNTAIN GATE,3156,Aston,,FERNTREE GULLY
VIC,ROWVILLE,3178,Aston,,
VIC,SASSAFRAS,3787,Aston,,
VIC,SCORESBY,3179,Aston,,
VIC,STUDFIELD,3152,Aston,,WANTIRNA SOUTH
VIC,THE BASIN,3154,Aston,,
VIC,UPPER FERNTREE GULLY,3156,Aston,,
VIC,WANTIRNA,3152,Aston,,
VIC,WANTIRNA SOUTH,3152,Aston,,
