State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ALANVALE,7248,Bass,,NEWNHAM
TAS,ALBERTON,7263,Bass,,
TAS,BADGER CORNER,7255,Bass,,LADY BARRON
TAS,BADGER HEAD,7270,Bass,,
TAS,BANCA,7265,Bass,,
TAS,BANGOR,7267,Bass,,
TAS,BEACONSFIELD,7270,Bass,,
TAS,BEAUTY POINT,7270,Bass,,
TAS,BEECHFORD,7252,Bass,,
TAS,BELL BAY,7253,Bass,,
TAS,BELLINGHAM,7254,Bass,,
TAS,BIG GREEN ISLAND,7255,Bass,,
TAS,BIRRALEE,7303,Bass,,
TAS,BLACKWALL,7275,Bass,,
TAS,BLESSINGTON,7212,Bass,,
TAS,BLUE ROCKS,7255,Bass,,
TAS,BLUMONT,7260,Bass,,
TAS,BOOBYALLA,7264,Bass,,
TAS,BRANXHOLM,7261,Bass,,
TAS,BRIDGENORTH,7277,Bass,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,BRIDPORT,7262,Bass,,
TAS,BURNS CREEK,7212,Bass,,
TAS,CAPE BARREN ISLAND,7257,Bass,,
TAS,CAPE PORTLAND,7264,Bass,,
TAS,CLARENCE POINT,7270,Bass,,
TAS,CLARKE ISLAND,7264,Bass,,
TAS,CUCKOO,7260,Bass,,
TAS,DEAL ISLAND,7255,Bass,,
TAS,DERBY,7264,Bass,,
TAS,DEVIOT,7275,Bass,,
TAS,DILSTON,7252,Bass,,
TAS,EAST LAUNCESTON,7250,Bass,,
TAS,EMITA,7255,Bass,,
TAS,EXETER,7275,Bass,,
TAS,FLOWERY GULLY,7270,Bass,,
TAS,FORESTER,7260,Bass,,
TAS,FRANKFORD,7275,Bass,,
TAS,GEORGE TOWN,7253,Bass,,
TAS,GLADSTONE,7264,Bass,,
TAS,GLENGARRY,7275,Bass,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,GOLCONDA,7254,Bass,,
TAS,GRAVELLY BEACH,7276,Bass,,
TAS,GREENS BEACH,7270,Bass,,
TAS,GRINDELWALD,7277,Bass,,
TAS,HERRICK,7264,Bass,,
TAS,HILLWOOD,7252,Bass,,
TAS,HOLWELL,7275,Bass,,
TAS,INVERMAY,7248,Bass,,
TAS,JETSONVILLE,7260,Bass,,
TAS,KAMONA,7260,Bass,,
TAS,KAROOLA,7267,Bass,,
TAS,KAYENA,7270,Bass,,
TAS,KELSO,7270,Bass,,
TAS,KILLIECRANKIE,7255,Bass,,
TAS,KINGS MEADOWS,7249,Bass,,
TAS,LACKRANA,7255,Bass,,
TAS,LADY BARRON,7255,Bass,,
TAS,LALLA,7267,Bass,,
TAS,LANENA,7275,Bass,,
TAS,LAUNCESTON,7250,Bass,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,LEBRINA,7254,Bass,,
TAS,LEEKA,7255,Bass,,
TAS,LEFROY,7252,Bass,,
TAS,LEGANA,7277,Bass,,
TAS,LEGERWOOD,7263,Bass,,
TAS,LIETINNA,7260,Bass,,
TAS,LILYDALE,7268,Bass,,
TAS,LOCCOTA,7255,Bass,,
TAS,LOIRA,7275,Bass,,
TAS,LOW HEAD,7253,Bass,,
TAS,LOWER TURNERS MARSH,7267,Bass,,
TAS,LUGHRATA,7255,Bass,,
TAS,LULWORTH,7252,Bass,,
TAS,MAYFIELD,7248,Bass,,
TAS,MEMANA,7255,Bass,,
TAS,MOORINA,7264,Bass,,
TAS,MOUNT DIRECTION,7252,Bass,,
TAS,MOWBRAY,7248,Bass,,
TAS,MUSSELROE BAY,7264,Bass,,
TAS,MYRTLE BANK,7259,Bass,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,MYRTLE PARK,7259,Bass,,TARGA
TAS,NABOWLA,7260,Bass,,
TAS,NEWNHAM,7248,Bass,,
TAS,NEWSTEAD,7250,Bass,,
TAS,NORTH LILYDALE,7268,Bass,,
TAS,NORTH SCOTTSDALE,7260,Bass,,
TAS,NORWOOD,7250,Bass,,
TAS,NOTLEY HILLS,7275,Bass,,
TAS,NUNAMARA,7259,Bass,,
TAS,PALANA,7255,Bass,,
TAS,PATERSONIA,7259,Bass,,
TAS,PIONEER,7264,Bass,,
TAS,PIPERS BROOK,7254,Bass,,
TAS,PIPERS RIVER,7252,Bass,,
TAS,PROSPECT,7250,Bass,,
TAS,PUNCHBOWL,7249,Bass,,
TAS,PUNCHEON ISLAND,7255,Bass,,
TAS,RANGA,7255,Bass,,
TAS,RAVENSWOOD,7250,Bass,,
TAS,RELBIA,7258,Bass,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
