State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ARGYLE,3523,Bendigo,,
VIC,ASCOT,3551,Bendigo,,
VIC,ASHBOURNE,3442,Bendigo,,
VIC,AVONMORE,3559,Bendigo,,
VIC,AXE CREEK,3551,Bendigo,,
VIC,AXEDALE,3551,Bendigo,,
VIC,BAGSHOT,3551,Bendigo,,
VIC,BAGSHOT NORTH,3551,Bendigo,,
VIC,BARFOLD,3444,Bendigo,,
VIC,BARINGHUP,3463,Bendigo,,
VIC,BARINGHUP WEST,3463,Bendigo,,
VIC,BARKERS CREEK,3451,Bendigo,,
VIC,BARNADOWN,3557,Bendigo,,
VIC,BAYNTON,3444,Bendigo,,
VIC,BAYNTON EAST,3444,Bendigo,,
VIC,BENDIGO,3550,Bendigo,,
VIC,BENLOCH,3435,Bendigo,,
VIC,BIG HILL,3555,Bendigo,,
VIC,BRADFORD,3463,Bendigo,,
VIC,CADELLO,3442,Bendigo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,CALIFORNIA GULLY,3556,Bendigo,,
VIC,CAMPBELLS CREEK,3451,Bendigo,,
VIC,CAMPBELLTOWN,3364,Bendigo,,
VIC,CARISBROOK,3464,Bendigo,,
VIC,CARLSRUHE,3442,Bendigo,,
VIC,CASTLEMAINE,3450,Bendigo,,
VIC,CHEWTON,3451,Bendigo,,
VIC,CHEWTON BUSHLANDS,3451,Bendigo,,
VIC,COSTERFIELD,3523,Bendigo,,
VIC,DERRINAL,3523,Bendigo,,
VIC,DRUMMARTIN,3570,Bendigo,,
VIC,DRUMMOND,3461,Bendigo,,
VIC,DRUMMOND NORTH,3461,Bendigo,,
VIC,EAGLEHAWK,3556,Bendigo,,
VIC,EAGLEHAWK NORTH,3556,Bendigo,,
VIC,EAST BENDIGO,3550,Bendigo,,
VIC,EASTVILLE,3463,Bendigo,,
VIC,EDDINGTON,3472,Bendigo,,
VIC,EDGECOMBE,3444,Bendigo,,
VIC,ELMORE,3558,Bendigo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,ELPHINSTONE,3448,Bendigo,,
VIC,EMU CREEK,3551,Bendigo,,
VIC,EPPALOCK,3551,Bendigo,,
VIC,EPSOM,3551,Bendigo,,
VIC,FARADAY,3451,Bendigo,,
VIC,FERN HILL,3458,Bendigo,,
VIC,FLORA HILL,3550,Bendigo,,
VIC,FOSTERVILLE,3557,Bendigo,,
VIC,FRANKLINFORD,3461,Bendigo,,
VIC,FRYERSTOWN,3451,Bendigo,,
VIC,GLENHOPE,3444,Bendigo,,
VIC,GLENHOPE EAST,3522,Bendigo,,
VIC,GLENLUCE,3451,Bendigo,,
VIC,GOLDEN GULLY,3555,Bendigo,,
VIC,GOLDEN POINT,3451,Bendigo,,
VIC,GOLDEN SQUARE,3555,Bendigo,,
VIC,GOORNONG,3557,Bendigo,,
VIC,GOWER,3451,Bendigo,,
VIC,GOWER,3463,Bendigo,,
VIC,GREEN GULLY,3462,Bendigo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,GREENHILL,3444,Bendigo,,
VIC,GUILDFORD,3451,Bendigo,,
VIC,HARCOURT,3453,Bendigo,,
VIC,HARCOURT NORTH,3453,Bendigo,,
VIC,HEATHCOTE,3523,Bendigo,,
VIC,HEATHCOTE SOUTH,3523,Bendigo,,
VIC,HUNTER,3558,Bendigo,,
VIC,HUNTLY,3551,Bendigo,,
VIC,HUNTLY NORTH,3551,Bendigo,,
VIC,IRISHTOWN,3451,Bendigo,,
VIC,IRONBARK,3550,Bendigo,,
VIC,JACKASS FLAT,3556,Bendigo,,
VIC,JOYCES CREEK,3364,Bendigo,,
VIC,JUNORTOUN,3551,Bendigo,,
VIC,KAMAROOKA,3570,Bendigo,,
VIC,KANGAROO FLAT,3555,Bendigo,,
VIC,KENNINGTON,3550,Bendigo,,
VIC,KIMBOLTON,3551,Bendigo,,
VIC,KNOWSLEY,3523,Bendigo,,
VIC,KNOWSLEY,3551,Bendigo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,KYNETON,3444,Bendigo,,
VIC,KYNETON SOUTH,3444,Bendigo,,
VIC,LADYS PASS,3523,Bendigo,,
VIC,LANGLEY,3444,Bendigo,,
VIC,LAURISTON,3444,Bendigo,,
VIC,LEICHARDT,3516,Bendigo,,
VIC,LOCKWOOD,3551,Bendigo,,
VIC,LOCKWOOD SOUTH,3551,Bendigo,,
VIC,LONG GULLY,3550,Bendigo,,
VIC,LONG GULLY,3556,Bendigo,,
VIC,LONGLEA,3551,Bendigo,,
VIC,LYAL,3444,Bendigo,,
VIC,MAIDEN GULLY,3551,Bendigo,,
VIC,MAIDEN GULLY,3555,Bendigo,,
VIC,MAIDEN GULLY,3556,Bendigo,,
VIC,MALDON,3463,Bendigo,,
VIC,MALMSBURY,3446,Bendigo,,
VIC,MANDURANG,3551,Bendigo,,
VIC,MANDURANG SOUTH,3551,Bendigo,,
VIC,MARONG,3515,Bendigo,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
