State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ANNANGROVE,2156,Berowra,,
NSW,ARCADIA,2159,Berowra,,
NSW,ASQUITH,2077,Berowra,,
NSW,BEECROFT,2119,Berowra,,
NSW,BEROWRA,2081,Berowra,,
NSW,BEROWRA HEIGHTS,2082,Berowra,,
NSW,BEROWRA WATERS,2082,Berowra,,
NSW,BERRILEE,2159,Berowra,,
NSW,BROOKLYN,2083,Berowra,,
NSW,CANOELANDS,2157,Berowra,,
NSW,CARLINGFORD,2118,Berowra,,
NSW,CASTLE HILL,2154,Berowra,,
NSW,CATTAI,2756,Berowra,,
NSW,CHELTENHAM,2119,Berowra,,
NSW,CHERRYBROOK,2126,Berowra,,
NSW,COWAN,2081,Berowra,,
NSW,DANGAR ISLAND,2083,Berowra,,
NSW,DURAL,2158,Berowra,,
NSW,FIDDLETOWN,2159,Berowra,,
NSW,FISHERMANS POINT,2083,Berowra,,BROOKLYN
123,123,123,123,123.0,123
1,2,3,,,
NSW,FOREST GLEN,2157,Berowra,,
NSW,GALSTON,2159,Berowra,,
NSW,GLENHAVEN,2156,Berowra,,
NSW,GLENORIE,2157,Berowra,,
NSW,HAWKESBURY RIVER,2083,Berowra,,BROOKLYN
NSW,HORNSBY,2077,Berowra,,
NSW,HORNSBY HEIGHTS,2077,Berowra,,
NSW,KENTHURST,2156,Berowra,,
NSW,LAUGHTONDALE,2775,Berowra,,
NSW,LEETS VALE,2775,Berowra,,
NSW,LOWER HAWKESBURY,2775,Berowra,,LAUGHTONDALE
NSW,LOWER HAWKESBURY,2775,Berowra,,SINGLETONS MILL
NSW,LOWER PORTLAND,2756,Berowra,,
NSW,MARAYLYA,2765,Berowra,,
NSW,MAROOTA,2756,Berowra,,
NSW,MIDDLE DURAL,2158,Berowra,,
NSW,MILSONS PASSAGE,2083,Berowra,,
NSW,MOUNT COLAH,2079,Berowra,,
NSW,MOUNT KURING-GAI,2080,Berowra,,
NSW,NORMANHURST,2076,Berowra,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,PENNANT HILLS,2120,Berowra,,
NSW,ROUND CORNER,2158,Berowra,,DURAL
NSW,SACKVILLE NORTH,2756,Berowra,,
NSW,SINGLETONS MILL,2775,Berowra,,
NSW,SOUTH MAROOTA,2756,Berowra,,
NSW,THORNLEIGH,2120,Berowra,,
NSW,WEST PENNANT HILLS,2125,Berowra,,
NSW,WESTLEIGH,2120,Berowra,,
NSW,WISEMANS FERRY,2775,Berowra,,
123,123,123,123,123.0,123
1,2,3,,,
