State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,BELMONT,4153.0,Bonner,,
QLD,BULWER,4025.0,Bonner,,
QLD,BURBANK,4156.0,Bonner,,
QLD,CANNON HILL,4170.0,Bonner,,
QLD,CAPE MORETON,4025.0,Bonner,,
QLD,CARINA,4152.0,Bonner,,
QLD,CARINDALE,4152.0,Bonner,,
QLD,CHANDLER,4155.0,Bonner,,
QLD,COWAN COWAN,4025.0,Bonner,,
QLD,EIGHT MILE PLAINS,4113.0,Bonner,,
QLD,GUMDALE,4154.0,Bonner,,
QLD,HEMMANT,4174.0,Bonner,,
QLD,HOLLAND PARK,4121.0,Bonner,,
QLD,HOLLAND PARK WEST,4121.0,Bonner,,
QLD,KOORINGAL,4025.0,Bonner,,
QLD,LINDUM,4178.0,Bonner,,WYNNUM WEST
QLD,LOTA,4179.0,Bonner,,
QLD,LYTTON,4178.0,Bonner,,
QLD,MACKENZIE,4156.0,Bonner,,
QLD,MANLY,4179.0,Bonner,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,MANLY WEST,4179.0,Bonner,,
QLD,MANSFIELD,4122.0,Bonner,,
QLD,MORETON ISLAND,4025.0,Bonner,,
QLD,MOUNT GRAVATT,4122.0,Bonner,,
QLD,MOUNT GRAVATT EAST,4122.0,Bonner,,
QLD,MURARRIE,4172.0,Bonner,,
QLD,PORT OF BRISBANE,4178.0,Bonner,,
QLD,RANSOME,4154.0,Bonner,,
QLD,ROCHEDALE,4123.0,Bonner,,
QLD,TANGALOOMA,4025.0,Bonner,,
QLD,TINGALPA,4173.0,Bonner,,
QLD,UPPER MOUNT GRAVATT,4122.0,Bonner,,
QLD,WAKERLEY,4154.0,Bonner,,
QLD,WISHART,4122.0,Bonner,,
QLD,WYNNUM,4178.0,Bonner,,
QLD,WYNNUM WEST,4178.0,Bonner,,
12,12,12.0,12,12.0,12.0
1,2,,,,
