State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ASCOT PARK,5043,Boothby,,
SA,BEDFORD PARK,5042,Boothby,,
SA,BELAIR,5052,Boothby,,
SA,BELLEVUE HEIGHTS,5050,Boothby,,
SA,BLACK FOREST,5035,Boothby,,
SA,BLACKWOOD,5051,Boothby,,
SA,BRIGHTON,5048,Boothby,,
SA,BROWN HILL CREEK,5062,Boothby,,
SA,CLAPHAM,5062,Boothby,,
SA,CLARENCE GARDENS,5039,Boothby,,
SA,CLARENCE PARK,5034,Boothby,,
SA,CLOVELLY PARK,5042,Boothby,,
SA,COLONEL LIGHT GARDENS,5041,Boothby,,
SA,CRAFERS WEST,5152,Boothby,,
SA,CUMBERLAND PARK,5041,Boothby,,
SA,DARLINGTON,5047,Boothby,,
SA,DAW PARK,5041,Boothby,,
SA,DOVER GARDENS,5048,Boothby,,
SA,EDEN HILLS,5050,Boothby,,
SA,EDWARDSTOWN,5039,Boothby,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,FORESTVILLE,5035,Boothby,,
SA,GLANDORE,5037,Boothby,,
SA,GLENALTA,5052,Boothby,,
SA,GLENELG,5045,Boothby,,
SA,GLENELG EAST,5045,Boothby,,
SA,GLENELG NORTH,5045,Boothby,,
SA,GLENELG SOUTH,5045,Boothby,,
SA,GLENGOWRIE,5044,Boothby,,
SA,HAWTHORN,5062,Boothby,,
SA,HOVE,5048,Boothby,,
SA,KINGS PARK,5034,Boothby,,
SA,KINGSTON PARK,5049,Boothby,,
SA,KINGSWOOD,5062,Boothby,,
SA,LEAWOOD GARDENS,5150,Boothby,,
SA,LOWER MITCHAM,5062,Boothby,,
SA,LYNTON,5062,Boothby,,
SA,MARINO,5049,Boothby,,
SA,MARION,5043,Boothby,,
SA,MELROSE PARK,5039,Boothby,,
SA,MILLSWOOD,5034,Boothby,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,MITCHAM,5062,Boothby,,
SA,MITCHELL PARK,5043,Boothby,,
SA,MORPHETTVILLE,5043,Boothby,,
SA,NETHERBY,5062,Boothby,,
SA,NORTH BRIGHTON,5048,Boothby,,
SA,OAKLANDS PARK,5046,Boothby,,
SA,O'HALLORAN HILL,5158,Boothby,,
SA,PANORAMA,5041,Boothby,,
SA,PARK HOLME,5043,Boothby,,
SA,PASADENA,5042,Boothby,,
SA,PLYMPTON PARK,5038,Boothby,,
SA,SEACLIFF,5049,Boothby,,
SA,SEACLIFF PARK,5049,Boothby,,
SA,SEACOMBE GARDENS,5047,Boothby,,
SA,SEACOMBE HEIGHTS,5047,Boothby,,
SA,SEAVIEW DOWNS,5049,Boothby,,
SA,SOMERTON PARK,5044,Boothby,,
SA,SOUTH BRIGHTON,5048,Boothby,,
SA,SOUTH PLYMPTON,5038,Boothby,,
SA,SPRINGFIELD,5062,Boothby,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,ST MARYS,5042,Boothby,,
SA,STURT,5047,Boothby,,
SA,TONSLEY,5042,Boothby,,
SA,TORRENS PARK,5062,Boothby,,
SA,URRBRAE,5064,Boothby,,
SA,WARRADALE,5046,Boothby,,
SA,WESTBOURNE PARK,5041,Boothby,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
