State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ABBOTSHAM,7315,Braddon,,
TAS,ABERDEEN,7310,Braddon,,
TAS,ACTON,7320,Braddon,,
TAS,ALCOMIE,7330,Braddon,,
TAS,AMBLESIDE,7310,Braddon,,
TAS,ARTHUR RIVER,7330,Braddon,,
TAS,BAKERS BEACH,7307,Braddon,,
TAS,BLACK RIVER,7321,Braddon,,
TAS,BOAT HARBOUR,7321,Braddon,,
TAS,BOAT HARBOUR BEACH,7321,Braddon,,
TAS,BRITTONS SWAMP,7330,Braddon,,
TAS,BROADMEADOWS,7330,Braddon,,
TAS,BROOKLYN,7320,Braddon,,
TAS,BUNGAREE,7256,Braddon,,
TAS,BURNIE,7320,Braddon,,
TAS,CALDER,7325,Braddon,,
TAS,CAMDALE,7320,Braddon,,
TAS,CAMENA,7316,Braddon,,
TAS,CASTRA,7315,Braddon,,
TAS,CHASM CREEK,7321,Braddon,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,CHRISTMAS HILLS,7330,Braddon,,
TAS,COOEE,7320,Braddon,,
TAS,CORINNA,7321,Braddon,,
TAS,COUTA ROCKS,7330,Braddon,,
TAS,COWRIE POINT,7321,Braddon,,
TAS,CRAYFISH CREEK,7321,Braddon,,
TAS,CUPRONA,7316,Braddon,,
TAS,CURRIE,7256,Braddon,,
TAS,DETENTION,7321,Braddon,,
TAS,DEVONPORT,7310,Braddon,,
TAS,DOCTORS ROCKS,7325,Braddon,,
TAS,DON,7310,Braddon,,
TAS,DOWNLANDS,7320,Braddon,,
TAS,DUNDAS,7469,Braddon,,
TAS,EAST CAM,7321,Braddon,,
TAS,EAST DEVONPORT,7310,Braddon,,
TAS,EAST RIDGLEY,7321,Braddon,,
TAS,EDGCUMBE BEACH,7321,Braddon,,
TAS,EDITH CREEK,7330,Braddon,,
TAS,EGG LAGOON,7256,Braddon,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,ELLIOTT,7325,Braddon,,
TAS,EMU HEIGHTS,7320,Braddon,,
TAS,EUGENANA,7310,Braddon,,
TAS,FLOWERDALE,7325,Braddon,,
TAS,FOREST,7330,Braddon,,
TAS,FORTH,7310,Braddon,,
TAS,FORTHSIDE,7310,Braddon,,
TAS,FRANKFORD,7275,Braddon,,
TAS,GAWLER,7315,Braddon,,
TAS,GORMANSTON,7466,Braddon,,
TAS,GRANVILLE HARBOUR,7469,Braddon,,
TAS,GRASSY,7256,Braddon,,
TAS,GUNNS PLAINS,7315,Braddon,,
TAS,HAMPSHIRE,7321,Braddon,,
TAS,HARFORD,7307,Braddon,,
TAS,HAVENVIEW,7320,Braddon,,
TAS,HAWLEY BEACH,7307,Braddon,,
TAS,HELLYER,7321,Braddon,,
TAS,HENRIETTA,7325,Braddon,,
TAS,HEYBRIDGE,7316,Braddon,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,HIGHCLERE,7321,Braddon,,
TAS,HILLCREST,7320,Braddon,,
TAS,HOWTH,7316,Braddon,,
TAS,HUNTER ISLAND,7330,Braddon,,
TAS,IRISHTOWN,7330,Braddon,,
TAS,KINDRED,7310,Braddon,,
TAS,LAKE MARGARET,7467,Braddon,,
TAS,LAPOINYA,7325,Braddon,,
TAS,LATROBE,7307,Braddon,,
TAS,LEITH,7315,Braddon,,
TAS,LILEAH,7330,Braddon,,
TAS,LILLICO,7310,Braddon,,
TAS,LOONGANA,7315,Braddon,,
TAS,LOORANA,7256,Braddon,,
TAS,LOYETEA,7316,Braddon,,
TAS,LYMWOOD,7256,Braddon,,
TAS,MARRAWAH,7330,Braddon,,
TAS,MAWBANNA,7321,Braddon,,
TAS,MELLA,7330,Braddon,,
TAS,MELROSE,7310,Braddon,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,MENGHA,7330,Braddon,,
TAS,MERSEYLEA,7305,Braddon,,
TAS,MEUNNA,7325,Braddon,,
TAS,MIANDETTA,7310,Braddon,,
TAS,MILABENA,7325,Braddon,,
TAS,MONTAGU,7330,Braddon,,
TAS,MONTELLO,7320,Braddon,,
TAS,MONTUMANA,7321,Braddon,,
TAS,MOOREVILLE,7321,Braddon,,
TAS,MOORLEAH,7325,Braddon,,
TAS,MORIARTY,7307,Braddon,,
TAS,MOUNT HICKS,7325,Braddon,,
TAS,MYALLA,7325,Braddon,,
TAS,NABAGEENA,7330,Braddon,,
TAS,NARACOOPA,7256,Braddon,,
TAS,NATONE,7321,Braddon,,
TAS,NELSON BAY,7330,Braddon,,
TAS,NIETTA,7315,Braddon,,
TAS,NORTH MOTTON,7315,Braddon,,
TAS,NORTHDOWN,7307,Braddon,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
