State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ANKETELL,6167.0,Brand,,
WA,BALDIVIS,6171.0,Brand,,
WA,BERTRAM,6167.0,Brand,,
WA,CALISTA,6167.0,Brand,,
WA,CASUARINA,6167.0,Brand,,
WA,COOLOONGUP,6168.0,Brand,,
WA,EAST ROCKINGHAM,6168.0,Brand,,
WA,GARDEN ISLAND,6168.0,Brand,,
WA,GOLDEN BAY,6174.0,Brand,,
WA,HILLMAN,6168.0,Brand,,
WA,HOPE VALLEY,6165.0,Brand,,
WA,KARNUP,6176.0,Brand,,
WA,KERALUP,6182.0,Brand,,
WA,KWINANA BEACH,6167.0,Brand,,
WA,KWINANA TOWN CENTRE,6167.0,Brand,,
WA,LEDA,6170.0,Brand,,
WA,MANDOGALUP,6167.0,Brand,,
WA,MEDINA,6167.0,Brand,,
WA,NAVAL BASE,6165.0,Brand,,
WA,ORELIA,6167.0,Brand,,
12,12,12.0,12,12.0,12.0
1,2,,,,
WA,PARMELIA,6167.0,Brand,,
WA,PERON,6168.0,Brand,,
WA,POINT PERON,6168.0,Brand,,PERON
WA,PORT KENNEDY,6172.0,Brand,,
WA,POSTANS,6167.0,Brand,,
WA,ROCKINGHAM,6168.0,Brand,,
WA,SAFETY BAY,6169.0,Brand,,
WA,SECRET HARBOUR,6173.0,Brand,,
WA,SHOALWATER,6169.0,Brand,,
WA,SINGLETON,6175.0,Brand,,
WA,THE SPECTACLES,6167.0,Brand,,
WA,WAIKIKI,6169.0,Brand,,
WA,WANDI,6167.0,Brand,,
WA,WARNBRO,6169.0,Brand,,
WA,WELLARD,6170.0,Brand,,
12,12,12.0,12,12.0,12
1,2,,,,
