State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ARMADALE,6112,Burt,,
WA,BROOKDALE,6112,Burt,,
WA,CAMILLO,6111,Burt,,
WA,CANNING VALE,6155,Burt,,
WA,CHAMPION LAKES,6111,Burt,,
WA,FORRESTDALE,6112,Burt,,
WA,GOSNELLS,6110,Burt,,
WA,HARRISDALE,6112,Burt,,
WA,HAYNES,6112,Burt,,
WA,HILBERT,6112,Burt,,
WA,HUNTINGDALE,6110,Burt,,
WA,KELMSCOTT,6111,Burt,,
WA,LANGFORD,6147,Burt,,
WA,MT NASURA,6112,Burt,,
WA,PIARA WATERS,6112,Burt,,
WA,SEVILLE GROVE,6112,Burt,,
WA,SOUTHERN RIVER,6110,Burt,,
WA,THORNLIE,6108,Burt,,
WA,WUNGONG,6112,Burt,,
