State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AARONS PASS,2850,Calare,,
NSW,ABERCROMBIE,2795,Calare,,
NSW,ABERCROMBIE RIVER,2795,Calare,,
NSW,AMAROO,2866,Calare,,
NSW,APPLE TREE FLAT,2850,Calare,,
NSW,APSLEY,2820,Calare,,
NSW,ARKELL,2795,Calare,,
NSW,ARKSTONE,2795,Calare,,
NSW,ARTHURVILLE,2820,Calare,,
NSW,AVISFORD,2850,Calare,,
NSW,BAKERS SWAMP,2820,Calare,,
NSW,BALD RIDGE,2795,Calare,,
NSW,BALDRY,2867,Calare,,
NSW,BALLIMORE,2830,Calare,,
NSW,BALLYROE,2795,Calare,,
NSW,BARA,2850,Calare,,
NSW,BARIGAN,2850,Calare,,
NSW,BARNEYS REEF,2852,Calare,,
NSW,BARRY,2799,Calare,,
NSW,BATHAMPTON,2795,Calare,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BATHURST,2795,Calare,,
NSW,BELGRAVIA,2800,Calare,,
NSW,BEN BUCKLEY,2850,Calare,,
NSW,BEN BULLEN,2790,Calare,,
NSW,BERYL,2852,Calare,,
NSW,BILLYWILLINGA,2795,Calare,,
NSW,BIRRIWA,2844,Calare,,
NSW,BLACK SPRINGS,2787,Calare,,
NSW,BLACKMANS FLAT,2790,Calare,,
NSW,BLAYNEY,2799,Calare,,
NSW,BOCOBLE,2850,Calare,,
NSW,BOCOBRA,2865,Calare,,
NSW,BODANGORA,2820,Calare,,
NSW,BOGEE,2849,Calare,,
NSW,BOMBIRA,2850,Calare,,
NSW,BOOMEY,2866,Calare,,
NSW,BOREE,2864,Calare,,
NSW,BORENORE,2800,Calare,,
NSW,BOTOBOLAR,2850,Calare,,
NSW,BOURNEWOOD,2868,Calare,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BOWAN PARK,2864,Calare,,
NSW,BOWENFELS,2790,Calare,,
NSW,BREAKFAST CREEK,2849,Calare,,
NSW,BREWONGLE,2795,Calare,,
NSW,BROGANS CREEK,2848,Calare,,
NSW,BROWNS CREEK,2799,Calare,,
NSW,BRUINBUN,2795,Calare,,
NSW,BUCKAROO,2850,Calare,,
NSW,BUDDEN,2849,Calare,,
NSW,BUDGEE BUDGEE,2850,Calare,,
NSW,BUMBERRY,2870,Calare,,
NSW,BUNGABA,2852,Calare,,
NSW,BURNT YARDS,2792,Calare,,
NSW,BURRAGA,2795,Calare,,
NSW,BURRUNDULLA,2850,Calare,,
NSW,BYLONG,2849,Calare,,
NSW,BYNG,2798,Calare,,
NSW,CADIA,2800,Calare,,
NSW,CAERLEON,2850,Calare,,
NSW,CALOOLA,2795,Calare,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,CAMBOON,2849,Calare,,
NSW,CANADIAN LEAD,2850,Calare,,
NSW,CANOBOLAS,2800,Calare,,
NSW,CANOWINDRA,2804,Calare,,
NSW,CAPERTEE,2846,Calare,,
NSW,CARCALGONG,2850,Calare,,
NSW,CARCOAR,2791,Calare,,
NSW,CARGO,2800,Calare,,
NSW,CARWELL,2849,Calare,,
NSW,CHARBON,2848,Calare,,
NSW,CHARLTON,2795,Calare,,
NSW,CHATHAM VALLEY,2787,Calare,,
NSW,CLANDULLA,2848,Calare,,
NSW,CLARENCE,2790,Calare,,
NSW,CLEAR CREEK,2795,Calare,,
NSW,CLERGATE,2800,Calare,,
NSW,CLIFTON GROVE,2800,Calare,,
NSW,COBAR PARK,2790,Calare,,
NSW,COGGAN,2849,Calare,,
NSW,COLLINGWOOD,2850,Calare,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,COLO,2795,Calare,,
NSW,COMOBELLA,2820,Calare,,
NSW,COOKS GAP,2850,Calare,,
NSW,COOYAL,2850,Calare,,
NSW,COPE,2852,Calare,,
NSW,COPPERHANNIA,2795,Calare,,
NSW,CORNEY TOWN,2790,Calare,,
NSW,COW FLAT,2795,Calare,,
NSW,COXS CREEK,2849,Calare,,
NSW,COXS CROWN,2849,Calare,,
NSW,CROSS ROADS,2850,Calare,,
NSW,CRUDINE,2795,Calare,,
NSW,CUDAL,2864,Calare,,
NSW,CUDGEGONG,2850,Calare,,
NSW,CULLEN BULLEN,2790,Calare,,
NSW,CULLENBONE,2850,Calare,,
NSW,CUMBANDRY,2852,Calare,,
NSW,CUMBO,2850,Calare,,
NSW,CUMNOCK,2867,Calare,,
NSW,CUNDUMBUL,2866,Calare,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
