State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ATTWOOD,3049.0,Calwell,,
VIC,BROADMEADOWS,3047.0,Calwell,,
VIC,CAMPBELLFIELD,3061.0,Calwell,,
VIC,COOLAROO,3048.0,Calwell,,
VIC,CRAIGIEBURN,3064.0,Calwell,,
VIC,DALLAS,3047.0,Calwell,,
VIC,FAWKNER,3060.0,Calwell,,
VIC,GLADSTONE PARK,3043.0,Calwell,,
VIC,GREENVALE,3059.0,Calwell,,
VIC,JACANA,3047.0,Calwell,,
VIC,KALKALLO,3064.0,Calwell,,
VIC,KEILOR,3036.0,Calwell,,
VIC,KEILOR PARK,3042.0,Calwell,,
VIC,MEADOW HEIGHTS,3048.0,Calwell,,
VIC,MELBOURNE AIRPORT,3045.0,Calwell,,
VIC,MICKLEHAM,3064.0,Calwell,,
VIC,OAKLANDS JUNCTION,3063.0,Calwell,,
VIC,ROXBURGH PARK,3064.0,Calwell,,
VIC,SOMERTON,3062.0,Calwell,,
VIC,TULLAMARINE,3043.0,Calwell,,
12,12,12.0,12,12.0,12.0
1,2,,,,
VIC,UPFIELD,3047.0,Calwell,,DALLAS
VIC,WESTMEADOWS,3049.0,Calwell,,
VIC,YUROKE,3063.0,Calwell,,
12,12,12.0,12,12.0,12
1,2,,,,
