State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
ACT,ACTON,2601,Canberra,,
ACT,AINSLIE,2602,Canberra,,
ACT,ARANDA,2614,Canberra,,
ACT,BARTON,2600,Canberra,,
ACT,BEARD,2620,Canberra,,
ACT,BELCONNEN DISTRICT,2617,Canberra,,
ACT,BRADDON,2612,Canberra,,
ACT,BRUCE,2617,Canberra,,
ACT,CAMPBELL,2612,Canberra,,
ACT,CANBERRA AIRPORT,2609,Canberra,,
ACT,CANBERRA CENTRAL,2601,Canberra,,
ACT,CANBERRA CITY,2601,Canberra,,
ACT,COOK,2614,Canberra,,
ACT,COOMBS,2611,Canberra,,
ACT,CURTIN,2605,Canberra,,
ACT,DEAKIN,2600,Canberra,,
ACT,DICKSON,2602,Canberra,,
ACT,DOWNER,2602,Canberra,,
ACT,FORREST,2603,Canberra,,
ACT,FYSHWICK,2609,Canberra,,
123,123,123,123,123.0,123.0
1,2,3,,,
ACT,GARRAN,2605,Canberra,,
ACT,GIRALANG,2617,Canberra,,
ACT,GRIFFITH,2603,Canberra,,
ACT,HACKETT,2602,Canberra,,
ACT,HAWKER,2614,Canberra,,
ACT,HUGHES,2605,Canberra,,
ACT,KALEEN,2617,Canberra,,
ACT,KINGSTON,2604,Canberra,,
ACT,KOWEN DISTRICT,2620,Canberra,,
ACT,KOWEN FOREST,2620,Canberra,,
ACT,LAWSON,2617,Canberra,,
ACT,LYNEHAM,2602,Canberra,,
ACT,LYONS,2606,Canberra,,
ACT,MACQUARIE,2614,Canberra,,
ACT,MAJURA DISTRICT,2609,Canberra,,
ACT,MOLONGLO VALLEY DISTRICT,2611,Canberra,,
ACT,NARRABUNDAH,2604,Canberra,,
ACT,OAKS ESTATE,2620,Canberra,,
ACT,O'CONNOR,2602,Canberra,,
ACT,PARKES,2600,Canberra,,
123,123,123,123,123.0,123.0
1,2,3,,,
ACT,PIALLIGO,2609,Canberra,,
ACT,RED HILL,2603,Canberra,,
ACT,REID,2612,Canberra,,
ACT,SYMONSTON,2609,Canberra,,
ACT,TURNER,2612,Canberra,,
ACT,WATSON,2602,Canberra,,
ACT,WEETANGERA,2614,Canberra,,
ACT,WESTON CREEK DISTRICT,2611,Canberra,,
ACT,YARRALUMLA,2600,Canberra,,
123,123,123,123,123.0,123.0
1,2,3,,,
