State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ARMADALE,6112,Canning,,
WA,ASHENDON,6111,Canning,,
WA,BANNISTER,6390,Canning,,
WA,BARRAGUP,6209,Canning,,
WA,BEDFORDALE,6112,Canning,,
WA,BIRCHMONT,6214,Canning,,
WA,BLYTHEWOOD,6208,Canning,,
WA,BODDINGTON,6390,Canning,,
WA,BOUVARD,6211,Canning,,
WA,BYFORD,6122,Canning,,
WA,CANNING MILLS,6111,Canning,,
WA,CARDUP,6122,Canning,,
WA,CARMEL,6076,Canning,,
WA,COODANUP,6210,Canning,,
WA,COOLUP,6214,Canning,,
WA,CROSSMAN,6390,Canning,,
WA,DARLING DOWNS,6122,Canning,,
WA,DAWESVILLE,6211,Canning,,
WA,DUDLEY PARK,6210,Canning,,
WA,DWELLINGUP,6213,Canning,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
WA,ERSKINE,6210,Canning,,
WA,FAIRBRIDGE,6208,Canning,,
WA,FALCON,6210,Canning,,
WA,FURNISSDALE,6209,Canning,,
WA,GOSNELLS,6110,Canning,,
WA,GREENFIELDS,6210,Canning,,
WA,HALLS HEAD,6210,Canning,,
WA,HAMEL,6215,Canning,,
WA,HERRON,6211,Canning,,
WA,HILBERT,6112,Canning,,
WA,HOLYOAKE,6213,Canning,,
WA,HOPELAND,6125,Canning,,
WA,INGLEHOPE,6213,Canning,,
WA,JARRAHDALE,6124,Canning,,
WA,KARRAGULLEN,6111,Canning,,
WA,KARRAKUP,6122,Canning,,
WA,KEYSBROOK,6126,Canning,,
WA,LAKE CLIFTON,6215,Canning,,
WA,LAKELANDS,6180,Canning,,
WA,LOWER HOTHAM,6390,Canning,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
WA,MADORA BAY,6210,Canning,,
WA,MANDURAH,6210,Canning,,
WA,MARDELLA,6125,Canning,,
WA,MARRADONG,6390,Canning,,
WA,MARRINUP,6213,Canning,,
WA,MARTIN,6110,Canning,,
WA,MEADOW SPRINGS,6210,Canning,,
WA,MEELON,6208,Canning,,
WA,MT RICHON,6112,Canning,,
WA,MUNDIJONG,6123,Canning,,
WA,MYARA,6207,Canning,,
WA,NAMBEELUP,6207,Canning,,
WA,NANGA BROOK,6215,Canning,,
WA,NIRIMBA,6208,Canning,,
WA,NORTH DANDALUP,6207,Canning,,
WA,NORTH YUNDERUP,6208,Canning,,
WA,OAKFORD,6121,Canning,,
WA,OAKLEY,6208,Canning,,
WA,OLDBURY,6121,Canning,,
WA,ORANGE GROVE,6109,Canning,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
WA,PARKLANDS,6180,Canning,,
WA,PICKERING BROOK,6076,Canning,,
WA,PINJARRA,6208,Canning,,
WA,POINT GREY,6208,Canning,,
WA,PRESTON BEACH,6215,Canning,,
WA,QUINDANNING,6391,Canning,,
WA,RANFORD,6390,Canning,,
WA,RAVENSWOOD,6208,Canning,,
WA,ROLEYSTONE,6111,Canning,,
WA,SAN REMO,6210,Canning,,
WA,SERPENTINE,6125,Canning,,
WA,SILVER SANDS,6210,Canning,,
WA,SOUTH YUNDERUP,6208,Canning,,
WA,STAKE HILL,6181,Canning,,
WA,TEESDALE,6213,Canning,,
WA,UPPER MURRAY,6390,Canning,,
WA,WAGERUP,6215,Canning,,
WA,WANNANUP,6210,Canning,,
WA,WAROONA,6215,Canning,,
WA,WEST COOLUP,6214,Canning,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
WA,WEST PINJARRA,6208,Canning,,
WA,WHITBY,6123,Canning,,
WA,WHITTAKER,6207,Canning,,
WA,WUNGONG,6112,Canning,,
WA,WURAMING,6390,Canning,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
