State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ADELAIDE PARK,4703,Capricornia,,
QLD,ALEXANDRA,4740,Capricornia,,
QLD,ALLENSTOWN,4700,Capricornia,,
QLD,ALLIGATOR CREEK,4740,Capricornia,,
QLD,ARMSTRONG BEACH,4737,Capricornia,,
QLD,BAKERS CREEK,4740,Capricornia,,
QLD,BALBERRA,4740,Capricornia,,
QLD,BANGALEE,4703,Capricornia,,
QLD,BARLOWS HILL,4703,Capricornia,,
QLD,BARMARYEE,4703,Capricornia,,
QLD,BARMOYA,4703,Capricornia,,
QLD,BELYANDO,4721,Capricornia,,
QLD,BENHOLME,4754,Capricornia,,
QLD,BERSERKER,4701,Capricornia,,
QLD,BLUE MOUNTAIN,4737,Capricornia,,
QLD,BOGIE,4805,Capricornia,,
QLD,BONDOOLA,4703,Capricornia,,
QLD,BRIGHTLY,4741,Capricornia,,
QLD,BROKEN RIVER,4757,Capricornia,,
QLD,BUNGUNDARRA,4703,Capricornia,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BURTON,4742,Capricornia,,
QLD,BYFIELD,4703,Capricornia,,
QLD,CAMPWIN BEACH,4737,Capricornia,,
QLD,CANAL CREEK,4702,Capricornia,,
QLD,CANOONA,4702,Capricornia,,
QLD,CARMILA,4739,Capricornia,,
QLD,CAUSEWAY LAKE,4703,Capricornia,,
QLD,CAWARRAL,4702,Capricornia,,
QLD,CHELONA,4740,Capricornia,,
QLD,CLAIRVIEW,4741,Capricornia,,
QLD,CLARKE CREEK,4705,Capricornia,,
QLD,CLERMONT,4721,Capricornia,,
QLD,COBRABALL,4703,Capricornia,,
QLD,COLLAROY,4707,Capricornia,,
QLD,COLLINSVILLE,4804,Capricornia,,
QLD,COOEE BAY,4703,Capricornia,,
QLD,COOROOMAN,4702,Capricornia,,
QLD,COOWONGA,4702,Capricornia,,
QLD,COPPABELLA,4741,Capricornia,,
QLD,CORAL SEA,4741,Capricornia,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CREDITON,4757,Capricornia,,
QLD,DALRYMPLE HEIGHTS,4757,Capricornia,,
QLD,DEPOT HILL,4700,Capricornia,,
QLD,DEVEREUX CREEK,4753,Capricornia,,
QLD,DOWS CREEK,4754,Capricornia,,
QLD,DUNNROCK,4740,Capricornia,,
QLD,DYSART,4745,Capricornia,,
QLD,EAGLEFIELD,4742,Capricornia,,
QLD,ELGIN,4721,Capricornia,,
QLD,ELPHINSTONE,4742,Capricornia,,
QLD,EMU PARK,4710,Capricornia,,
QLD,EPSOM,4741,Capricornia,,
QLD,ETNA CREEK,4702,Capricornia,,
QLD,ETON,4741,Capricornia,,
QLD,EUNGELLA,4757,Capricornia,,
QLD,EUNGELLA DAM,4757,Capricornia,,
QLD,EUNGELLA HINTERLAND,4741,Capricornia,,
QLD,FAIRY BOWER,4700,Capricornia,,
QLD,FARNBOROUGH,4703,Capricornia,,
QLD,FINCH HATTON,4756,Capricornia,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,FRANKFIELD,4721,Capricornia,,
QLD,FRENCHVILLE,4701,Capricornia,,
QLD,FRESHWATER POINT,4737,Capricornia,,
QLD,GARGETT,4741,Capricornia,,
QLD,GEMINI MOUNTAINS,4721,Capricornia,,
QLD,GLENDALE,4711,Capricornia,,
QLD,GLENDEN,4743,Capricornia,,
QLD,GLENLEE,4711,Capricornia,,
QLD,GRACEMERE,4702,Capricornia,,
QLD,GRASSTREE BEACH,4740,Capricornia,,
QLD,GREENLAKE,4701,Capricornia,,
QLD,GREENMOUNT,4751,Capricornia,,
QLD,HAIL CREEK,4742,Capricornia,,
QLD,HAY POINT,4740,Capricornia,,
QLD,HAZLEDEAN,4741,Capricornia,,
QLD,HIDDEN VALLEY,4703,Capricornia,,
QLD,HOMEBUSH,4740,Capricornia,,
QLD,ILBILBIE,4738,Capricornia,,
QLD,INVERNESS,4703,Capricornia,,
QLD,IRONPOT,4701,Capricornia,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,JARDINE,4702,Capricornia,,
QLD,JOSKELEIGH,4702,Capricornia,,
QLD,KAWANA,4701,Capricornia,,
