State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ANGUS,2765.0,Chifley,,
NSW,ARNDELL PARK,2148.0,Chifley,,
NSW,BIDWILL,2770.0,Chifley,,
NSW,BLACKETT,2770.0,Chifley,,
NSW,BLACKTOWN,2148.0,Chifley,,
NSW,BUNGARRIBEE,2767.0,Chifley,,
NSW,COLEBEE,2761.0,Chifley,,
NSW,DEAN PARK,2761.0,Chifley,,
NSW,DHARRUK,2770.0,Chifley,,
NSW,DOONSIDE,2767.0,Chifley,,
NSW,EASTERN CREEK,2766.0,Chifley,,
NSW,EMERTON,2770.0,Chifley,,
NSW,GLENDENNING,2761.0,Chifley,,
NSW,HASSALL GROVE,2761.0,Chifley,,
NSW,HEBERSHAM,2770.0,Chifley,,
NSW,LETHBRIDGE PARK,2770.0,Chifley,,
NSW,MARAYONG,2148.0,Chifley,,
NSW,MARSDEN PARK,2765.0,Chifley,,
NSW,MELONBA,2765.0,Chifley,,
NSW,MOUNT DRUITT,2770.0,Chifley,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,NIRIMBA FIELDS,2763.0,Chifley,,
NSW,OAKHURST,2761.0,Chifley,,
NSW,PLUMPTON,2761.0,Chifley,,
NSW,QUAKERS HILL,2763.0,Chifley,,
NSW,RIVERSTONE,2765.0,Chifley,,
NSW,ROOTY HILL,2766.0,Chifley,,
NSW,ROPES CROSSING,2760.0,Chifley,,
NSW,ROUSE HILL,2155.0,Chifley,,
NSW,SCHOFIELDS,2762.0,Chifley,,
NSW,SHALVEY,2770.0,Chifley,,
NSW,SHANES PARK,2747.0,Chifley,,
NSW,TREGEAR,2770.0,Chifley,,
NSW,VINEYARD,2765.0,Chifley,,
NSW,WHALAN,2770.0,Chifley,,
NSW,WILLMOT,2770.0,Chifley,,
NSW,WOODCROFT,2767.0,Chifley,,
12,12,12.0,12,12.0,12.0
1,2,,,,
