State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ASHWOOD,3147.0,Chisholm,,
VIC,BENNETTSWOOD,3125.0,Chisholm,,BURWOOD
VIC,BLACKBURN,3130.0,Chisholm,,
VIC,BLACKBURN NORTH,3130.0,Chisholm,,
VIC,BLACKBURN SOUTH,3130.0,Chisholm,,
VIC,BOX HILL,3128.0,Chisholm,,
VIC,BOX HILL NORTH,3129.0,Chisholm,,
VIC,BOX HILL SOUTH,3128.0,Chisholm,,
VIC,BURWOOD,3125.0,Chisholm,,
VIC,BURWOOD EAST,3151.0,Chisholm,,
VIC,BURWOOD HEIGHTS,3151.0,Chisholm,,BURWOOD EAST
VIC,CHADSTONE,3148.0,Chisholm,,
VIC,EAST BURWOOD,3151.0,Chisholm,,BURWOOD EAST
VIC,FOREST HILL,3131.0,Chisholm,,
VIC,GLEN WAVERLEY,3150.0,Chisholm,,
VIC,KERRIMUIR,3129.0,Chisholm,,BOX HILL NORTH
VIC,LABURNUM,3130.0,Chisholm,,BLACKBURN
VIC,MOUNT WAVERLEY,3149.0,Chisholm,,
VIC,NORTH BLACKBURN,3130.0,Chisholm,,BLACKBURN NORTH
VIC,NUNAWADING,3131.0,Chisholm,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,PINEWOOD,3149.0,Chisholm,,MOUNT WAVERLEY
VIC,SURREY HILLS,3127.0,Chisholm,,
VIC,SYNDAL,3149.0,Chisholm,,GLEN WAVERLEY
VIC,SYNDAL EAST,3150.0,Chisholm,,GLEN WAVERLEY
VIC,WATTLE PARK,3128.0,Chisholm,,BOX HILL SOUTH
12,12,12.0,12,12.0,12
1,2,,,,
