State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,AUSTINS FERRY,7011.0,Clark,,
TAS,BATTERY POINT,7004.0,Clark,,
TAS,BERRIEDALE,7011.0,Clark,,
TAS,BONNET HILL,7053.0,Clark,,
TAS,CHIGWELL,7011.0,Clark,,
TAS,CLAREMONT,7011.0,Clark,,
TAS,COLLINSVALE,7012.0,Clark,,
TAS,DERWENT PARK,7009.0,Clark,,
TAS,DOWSING POINT,7010.0,Clark,,
TAS,DYNNYRNE,7005.0,Clark,,
TAS,FERN TREE,7054.0,Clark,,
TAS,GLEBE,7000.0,Clark,,
TAS,GLENLUSK,7012.0,Clark,,
TAS,GLENORCHY,7010.0,Clark,,
TAS,GOODWOOD,7010.0,Clark,,
TAS,GRANTON,7030.0,Clark,,
TAS,HOBART,7000.0,Clark,,
TAS,KINGSTON,7050.0,Clark,,
TAS,LENAH VALLEY,7008.0,Clark,,
TAS,LESLIE VALE,7054.0,Clark,,
12,12,12.0,12,12.0,12.0
1,2,,,,
TAS,LONGLEY,7150.0,Clark,,
TAS,LOWER LONGLEY,7109.0,Clark,,
TAS,LOWER SANDY BAY,7005.0,Clark,,SANDY BAY
TAS,LUTANA,7009.0,Clark,,
TAS,MONTROSE,7010.0,Clark,,
TAS,MOONAH,7009.0,Clark,,
TAS,MOUNT NELSON,7007.0,Clark,,
TAS,MOUNT STUART,7000.0,Clark,,
TAS,NEIKA,7054.0,Clark,,
TAS,NEW TOWN,7008.0,Clark,,
TAS,NORTH HOBART,7000.0,Clark,,
TAS,QUEENS DOMAIN,7000.0,Clark,,
TAS,RIDGEWAY,7054.0,Clark,,
TAS,ROSETTA,7010.0,Clark,,
TAS,SANDY BAY,7005.0,Clark,,
TAS,SOUTH HOBART,7004.0,Clark,,
TAS,TAROONA,7053.0,Clark,,
TAS,TOLMANS HILL,7007.0,Clark,,
TAS,WEST HOBART,7000.0,Clark,,
TAS,WEST MOONAH,7009.0,Clark,,
12,12,12.0,12,12.0,12
1,2,,,,
