State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,AIREYS INLET,3231,Corangamite,,
VIC,ANAKIE,3213,Corangamite,,
VIC,ANGLESEA,3230,Corangamite,,
VIC,APOLLO BAY,3233,Corangamite,,
VIC,ARMSTRONG CREEK,3217,Corangamite,,
VIC,BAMBRA,3241,Corangamite,,
VIC,BAMGANIE,3333,Corangamite,,
VIC,BANNOCKBURN,3331,Corangamite,,
VIC,BARRABOOL,3221,Corangamite,,
VIC,BARRAMUNGA,3249,Corangamite,,
VIC,BARUNAH PARK,3329,Corangamite,,
VIC,BARUNAH PLAINS,3329,Corangamite,,
VIC,BARWON DOWNS,3243,Corangamite,,
VIC,BARWON HEADS,3227,Corangamite,,
VIC,BATESFORD,3213,Corangamite,,
VIC,BEECH FOREST,3237,Corangamite,,
VIC,BELLARINE,3223,Corangamite,,
VIC,BELLBRAE,3228,Corangamite,,
VIC,BELLS BEACH,3228,Corangamite,,
VIC,BENWERRIN,3235,Corangamite,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BIG HILL,3231,Corangamite,,
VIC,BIRREGURRA,3242,Corangamite,,
VIC,BOONAH,3235,Corangamite,,
VIC,BREAMLEA,3227,Corangamite,,
VIC,BUCKLEY,3240,Corangamite,,
VIC,CAPE OTWAY,3233,Corangamite,,
VIC,CARLISLE RIVER,3239,Corangamite,,
VIC,CERES,3221,Corangamite,,
VIC,CHAPPLE VALE,3239,Corangamite,,
VIC,CHARLEMONT,3217,Corangamite,,
VIC,CHARLEYS CREEK,3237,Corangamite,,BEECH FOREST
VIC,CLIFTON SPRINGS,3222,Corangamite,,
VIC,COLLENDINA,3226,Corangamite,,OCEAN GROVE
VIC,CONNEWARRE,3227,Corangamite,,
VIC,CORADJIL,3260,Corangamite,,SIMPSON
VIC,CURLEWIS,3222,Corangamite,,
VIC,DEANS MARSH,3235,Corangamite,,
VIC,DRYSDALE,3222,Corangamite,,
VIC,DURDIDWARRAH,3342,Corangamite,,
VIC,EASTERN VIEW,3231,Corangamite,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,FAIRHAVEN,3231,Corangamite,,
VIC,FERGUSON,3237,Corangamite,,
VIC,FORREST,3236,Corangamite,,
VIC,FRESHWATER CREEK,3217,Corangamite,,
VIC,GELLIBRAND,3239,Corangamite,,
VIC,GELLIBRAND LOWER,3237,Corangamite,,
VIC,GERANGAMETE,3249,Corangamite,,
VIC,GHERANG,3240,Corangamite,,
VIC,GHERINGHAP,3331,Corangamite,,
VIC,GLENAIRE,3238,Corangamite,,
VIC,GNARWARRE,3221,Corangamite,,
VIC,GREY RIVER,3234,Corangamite,,
VIC,GROVEDALE,3216,Corangamite,,
VIC,HESSE,3321,Corangamite,,
VIC,HIGHTON,3216,Corangamite,,
VIC,HORDERN VALE,3238,Corangamite,,
VIC,INDENTED HEAD,3223,Corangamite,,
VIC,INDENTED HEADS,3223,Corangamite,,INDENTED HEAD
VIC,INVERLEIGH,3321,Corangamite,,
VIC,JAN JUC,3228,Corangamite,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,JOHANNA,3238,Corangamite,,
VIC,KAWARREN,3249,Corangamite,,
VIC,KENNETT RIVER,3234,Corangamite,,
VIC,LAVERS HILL,3238,Corangamite,,
VIC,LEOPOLD,3224,Corangamite,,
VIC,LETHBRIDGE,3332,Corangamite,,
VIC,LORNE,3232,Corangamite,,
VIC,MANNERIM,3222,Corangamite,,
VIC,MARCUS HILL,3222,Corangamite,,
VIC,MARENGO,3233,Corangamite,,
VIC,MARSHALL,3216,Corangamite,,
VIC,MAUDE,3331,Corangamite,,
VIC,MEREDITH,3333,Corangamite,,
VIC,MODEWARRE,3240,Corangamite,,
VIC,MOGGS CREEK,3231,Corangamite,,
VIC,MOOLAP,3224,Corangamite,,
VIC,MORIAC,3240,Corangamite,,
VIC,MORRISONS,3334,Corangamite,,
VIC,MOUNT DUNEED,3217,Corangamite,,
VIC,MOUNT MORIAC,3240,Corangamite,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,MT SABINE,3236,Corangamite,,BEECH FOREST
VIC,MURGHEBOLUC,3218,Corangamite,,
VIC,MURROON,3243,Corangamite,,
VIC,OCEAN GROVE,3226,Corangamite,,
VIC,OMBERSLEY,3241,Corangamite,,
VIC,PARAPARAP,3240,Corangamite,,
VIC,PENNYROYAL,3235,Corangamite,,
VIC,PETTICOAT CREEK,3233,Corangamite,,
VIC,POINT ADDIS,3230,Corangamite,,BELLS BEACH
VIC,POINT LONSDALE,3225,Corangamite,,
VIC,PORTARLINGTON,3223,Corangamite,,
VIC,QUEENSCLIFF,3225,Corangamite,,
VIC,RUSSELLS BRIDGE,3331,Corangamite,,
VIC,SEPARATION CREEK,3234,Corangamite,,
VIC,SHE OAKS,3331,Corangamite,,
VIC,SHELFORD,3329,Corangamite,,
VIC,SIMPSON,3266,Corangamite,,
VIC,SKENES CREEK,3233,Corangamite,,
VIC,SKENES CREEK NORTH,3233,Corangamite,,
VIC,ST LEONARDS,3223,Corangamite,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,STEIGLITZ,3331,Corangamite,,
VIC,STONEHAVEN,3218,Corangamite,,
VIC,SUGARLOAF,3234,Corangamite,,
VIC,SUTHERLANDS CREEK,3331,Corangamite,,
VIC,SWAN BAY,3225,Corangamite,,
VIC,SWAN ISLAND,3225,Corangamite,,
VIC,TANYBRYN,3249,Corangamite,,
VIC,TEESDALE,3328,Corangamite,,
VIC,TORQUAY,3228,Corangamite,,
VIC,WALLINGTON,3222,Corangamite,,
VIC,WANDANA HEIGHTS,3216,Corangamite,,
VIC,WARNCOORT,3243,Corangamite,,
VIC,WAURN PONDS,3216,Corangamite,,
VIC,WEEAPROINAH,3237,Corangamite,,
VIC,WENSLEYDALE,3241,Corangamite,,
VIC,WHOOREL,3243,Corangamite,,
VIC,WINCHELSEA,3241,Corangamite,,
VIC,WINCHELSEA SOUTH,3241,Corangamite,,
VIC,WINGEEL,3321,Corangamite,,
VIC,WONGARRA,3234,Corangamite,,
...34567,...34567,...34567,...34567,...34567,...34567
...,3,4,5,6,7
VIC,WURDIBOLUC,3241,Corangamite,,
VIC,WYE RIVER,3234,Corangamite,,
VIC,WYELANGTA,3237,Corangamite,,
VIC,YEODENE,3249,Corangamite,,
VIC,YUULONG,3237,Corangamite,,
...34567,...34567,...34567,...34567,...34567,...34567
...,3,4,5,6,7
