State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ALEXANDER HEIGHTS,6064.0,Cowan,,
WA,ASHBY,6065.0,Cowan,,
WA,BALLAJURA,6066.0,Cowan,,
WA,BEECHBORO,6063.0,Cowan,,
WA,BENNETT SPRINGS,6063.0,Cowan,,
WA,CULLACABARDEE,6067.0,Cowan,,
WA,DARCH,6065.0,Cowan,,
WA,GIRRAWHEEN,6064.0,Cowan,,
WA,GNANGARA,6077.0,Cowan,,
WA,GREENWOOD,6024.0,Cowan,,
WA,HOCKING,6065.0,Cowan,,
WA,JANDABUP,6077.0,Cowan,,
WA,KIARA,6054.0,Cowan,,
WA,KINGSLEY,6026.0,Cowan,,
WA,KOONDOOLA,6064.0,Cowan,,
WA,LANDSDALE,6065.0,Cowan,,
WA,LOCKRIDGE,6054.0,Cowan,,
WA,MADELEY,6065.0,Cowan,,
WA,MALAGA,6090.0,Cowan,,
WA,MARANGAROO,6064.0,Cowan,,
12,12,12.0,12,12.0,12.0
1,2,,,,
WA,PEARSALL,6065.0,Cowan,,
WA,SINAGRA,6065.0,Cowan,,
WA,TAPPING,6065.0,Cowan,,
WA,WANGARA,6065.0,Cowan,,
WA,WANNEROO,6065.0,Cowan,,
WA,WARWICK,6024.0,Cowan,,
WA,WHITEMAN,6068.0,Cowan,,
12,12,12.0,12,12.0,12.0
1,2,,,,
