State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALDAVILLA,2440,Cowper,,
NSW,ALLGOMERA,2441,Cowper,,
NSW,ARAKOON,2431,Cowper,,
NSW,ARGENTS HILL,2449,Cowper,,
NSW,AUSTRAL EDEN,2440,Cowper,,
NSW,BAKERS CREEK,2447,Cowper,,
NSW,BARRAGANYATTI,2441,Cowper,,
NSW,BAYLDON,2452,Cowper,,BOAMBEE EAST
NSW,BAYLDON,2452,Cowper,,TOORMINA
NSW,BELLBROOK,2440,Cowper,,
NSW,BELLIMBOPINNI,2440,Cowper,,
NSW,BELLINGEN,2454,Cowper,,
NSW,BELMORE RIVER,2440,Cowper,,
NSW,BIELSDOWN HILLS,2453,Cowper,,
NSW,BLACKMANS POINT,2444,Cowper,,
NSW,BOAMBEE,2450,Cowper,,
NSW,BOAMBEE EAST,2452,Cowper,,
NSW,BONVILLE,2450,Cowper,,
NSW,BOSTOBRICK,2453,Cowper,,
NSW,BOWRAVILLE,2449,Cowper,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BRIERFIELD,2454,Cowper,,
NSW,BROOKLANA,2450,Cowper,,
NSW,BRUXNER PARK,2450,Cowper,,COFFS HARBOUR
NSW,BUCKRA BENDINNI,2449,Cowper,,
NSW,BUNDAGEN,2454,Cowper,,
NSW,BURNT BRIDGE,2440,Cowper,,
NSW,BURRAPINE,2447,Cowper,,
NSW,CASCADE,2453,Cowper,,
NSW,CLYBUCCA,2440,Cowper,,
NSW,COFFS HARBOUR,2450,Cowper,,
NSW,COLLOMBATTI,2440,Cowper,,
NSW,COLLOMBATTI RAIL,2440,Cowper,,COLLOMBATTI
NSW,COMARA,2440,Cowper,,
NSW,CONGARINNI,2447,Cowper,,
NSW,CONGARINNI NORTH,2447,Cowper,,
NSW,COOPERABUNG,2441,Cowper,,
NSW,CORANGULA,2440,Cowper,,
NSW,CRESCENT HEAD,2440,Cowper,,
NSW,CROSSMAGLEN,2441,Cowper,,BONVILLE
NSW,DAIRYVILLE,2450,Cowper,,UPPER ORARA
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,DARKWOOD,2454,Cowper,,
NSW,DEEP CREEK,2440,Cowper,,
NSW,DEER VALE,2453,Cowper,,
NSW,DONDINGALONG,2440,Cowper,,
NSW,DONNELLYVILLE,2447,Cowper,,
NSW,DORRIGO,2453,Cowper,,
NSW,DORRIGO MOUNTAIN,2453,Cowper,,
NSW,DUNGAY CREEK,2440,Cowper,,YESSABAH
NSW,EAST KEMPSEY,2440,Cowper,,
NSW,EUNGAI CREEK,2441,Cowper,,
NSW,EUNGAI RAIL,2441,Cowper,,
NSW,EUROKA,2440,Cowper,,
NSW,FERNBANK CREEK,2444,Cowper,,
NSW,FERNBROOK,2453,Cowper,,
NSW,FERNMOUNT,2454,Cowper,,
NSW,FISHERMANS REACH,2441,Cowper,,
NSW,FREDERICKTON,2440,Cowper,,
NSW,GIRRALONG,2449,Cowper,,
NSW,GLADSTONE,2440,Cowper,,
NSW,GLENIFFER,2454,Cowper,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,GLENROCK,2440,Cowper,,KEMPSEY
NSW,GRASSY HEAD,2441,Cowper,,
NSW,GREENHILL,2440,Cowper,,
NSW,GUM SCRUB,2441,Cowper,,
NSW,GUMMA,2447,Cowper,,
NSW,HACKS FERRY,2441,Cowper,,
NSW,HAMPDEN HALL,2440,Cowper,,
NSW,HAT HEAD,2440,Cowper,,
NSW,HICKEYS CREEK,2440,Cowper,,
NSW,HYDES CREEK,2454,Cowper,,
NSW,HYLAND PARK,2448,Cowper,,
NSW,JACKS CROSSING,2440,Cowper,,SKILLION FLAT
NSW,JERSEYVILLE,2431,Cowper,,
NSW,KALANG,2454,Cowper,,
NSW,KEMPSEY,2440,Cowper,,
NSW,KENNAICLE CREEK,2449,Cowper,,
NSW,KINCHELA,2440,Cowper,,
NSW,KORORA,2450,Cowper,,
NSW,KORORA BASIN,2450,Cowper,,KORORA
NSW,KORORA BAY,2450,Cowper,,KORORA
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,KUNDABUNG,2441,Cowper,,
NSW,LEIGH,2453,Cowper,,
NSW,LEWIS CREEK,2440,Cowper,,WILLAWARRIN
NSW,LIMEBURNERS CREEK,2324,Cowper,,
NSW,LIMEBURNERS CREEK,2444,Cowper,,
NSW,LOWER NAMBUCCA,2448,Cowper,,NAMBUCCA HEADS
NSW,LOWER TAYLORS ARM,2447,Cowper,,TAYLORS ARM
NSW,MACKSVILLE,2447,Cowper,,
NSW,MACLEAY PARK,2440,Cowper,,YARRAVEL
NSW,MAYNARDS PLAINS,2453,Cowper,,
NSW,MEGAN,2453,Cowper,,
NSW,MELDRUM,2453,Cowper,,DORRIGO
NSW,MID SAPPHIRE,2450,Cowper,,SAPPHIRE BEACH
NSW,MIDDLE BOAMBEE,2450,Cowper,,BOAMBEE
NSW,MILLBANK,2440,Cowper,,
NSW,MISSABOTTI,2449,Cowper,,
NSW,MOONEBA,2440,Cowper,,
NSW,MOPARRABAH,2440,Cowper,,
NSW,MUNGAY CREEK,2440,Cowper,,
NSW,MYLESTOM,2454,Cowper,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
