State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,CHURCHLANDS,6018.0,Curtin,,
WA,CITY BEACH,6015.0,Curtin,,
WA,CLAREMONT,6010.0,Curtin,,
WA,COTTESLOE,6011.0,Curtin,,
WA,CRAWLEY,6009.0,Curtin,,
WA,DAGLISH,6008.0,Curtin,,
WA,DALKEITH,6009.0,Curtin,,
WA,DOUBLEVIEW,6018.0,Curtin,,
WA,FLOREAT,6014.0,Curtin,,
WA,GLENDALOUGH,6016.0,Curtin,,
WA,INNALOO,6018.0,Curtin,,
WA,JOLIMONT,6014.0,Curtin,,
WA,KARRAKATTA,6010.0,Curtin,,
WA,KARRINYUP,6018.0,Curtin,,
WA,MOSMAN PARK,6012.0,Curtin,,
WA,MT CLAREMONT,6010.0,Curtin,,
WA,NEDLANDS,6009.0,Curtin,,
WA,OSBORNE PARK,6017.0,Curtin,,
WA,PEPPERMINT GROVE,6011.0,Curtin,,
WA,SCARBOROUGH,6019.0,Curtin,,
12,12,12.0,12,12.0,12.0
1,2,,,,
WA,SHENTON PARK,6008.0,Curtin,,
WA,SUBIACO,6008.0,Curtin,,
WA,SWANBOURNE,6010.0,Curtin,,
WA,WEMBLEY,6014.0,Curtin,,
WA,WEMBLEY DOWNS,6019.0,Curtin,,
WA,WEST LEEDERVILLE,6007.0,Curtin,,
WA,WOODLANDS,6018.0,Curtin,,
12,12,12.0,12,12.0,12.0
1,2,,,,
