State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALBANY CREEK,4035,Dickson,,
QLD,ARANA HILLS,4054,Dickson,,
QLD,ARMSTRONG CREEK,4520,Dickson,,
QLD,BRAY PARK,4500,Dickson,,
QLD,BRENDALE,4500,Dickson,,
QLD,BRIDGEMAN DOWNS,4035,Dickson,,
QLD,BUNYA,4055,Dickson,,
QLD,CAMP MOUNTAIN,4520,Dickson,,
QLD,CASHMERE,4500,Dickson,,
QLD,CEDAR CREEK,4520,Dickson,,
QLD,CLEAR MOUNTAIN,4500,Dickson,,
QLD,CLOSEBURN,4520,Dickson,,
QLD,DAYBORO,4521,Dickson,,
QLD,DRAPER,4520,Dickson,,
QLD,EATONS HILL,4037,Dickson,,
QLD,EVERTON HILLS,4053,Dickson,,
QLD,FERNY HILLS,4055,Dickson,,
QLD,HIGHVALE,4520,Dickson,,
QLD,JOLLYS LOOKOUT,4520,Dickson,,
QLD,JOYNER,4500,Dickson,,
123,123,123,123,123.0,123.0
1,2,3,,,
QLD,KALLANGUR,4503,Dickson,,
QLD,KING SCRUB,4521,Dickson,,
QLD,KOBBLE CREEK,4520,Dickson,,
QLD,KURWONGBAH,4503,Dickson,,
QLD,LACEYS CREEK,4521,Dickson,,
QLD,LAWNTON,4501,Dickson,,
QLD,MCDOWALL,4053,Dickson,,
QLD,MOUNT GLORIOUS,4520,Dickson,,
QLD,MOUNT NEBO,4520,Dickson,,
QLD,MOUNT PLEASANT,4521,Dickson,,
QLD,MOUNT SAMSON,4520,Dickson,,
QLD,MURRUMBA DOWNS,4503,Dickson,,
QLD,NARANGBA,4504,Dickson,,
QLD,OCEAN VIEW,4521,Dickson,,
QLD,PETRIE,4502,Dickson,,
QLD,RUSH CREEK,4521,Dickson,,
QLD,SAMFORD,4520,Dickson,,SAMFORD VALLEY
QLD,SAMFORD,4520,Dickson,,SAMFORD VILLAGE
QLD,SAMFORD VALLEY,4520,Dickson,,
QLD,SAMFORD VILLAGE,4520,Dickson,,
123,123,123,123,123.0,123
1,2,3,,,
QLD,SAMSONVALE,4520,Dickson,,
QLD,STRATHPINE,4500,Dickson,,
QLD,WARNER,4500,Dickson,,
QLD,WHITESIDE,4503,Dickson,,
QLD,WIGHTS MOUNTAIN,4520,Dickson,,
QLD,YUGAR,4520,Dickson,,
123,123,123,123,123.0,123.0
1,2,3,,,
