State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ADAMINABY,2629,Eden-Monaro,,
NSW,ADELONG,2729,Eden-Monaro,,
NSW,AKOLELE,2546,Eden-Monaro,,
NSW,ANDO,2631,Eden-Monaro,,
NSW,ANEMBO,2621,Eden-Monaro,,
NSW,ANGLEDALE,2550,Eden-Monaro,,
NSW,ANGLERS REACH,2629,Eden-Monaro,,
NSW,ARABLE,2630,Eden-Monaro,,
NSW,ARALUEN,2622,Eden-Monaro,,
NSW,ARGALONG,2720,Eden-Monaro,,
NSW,AVONSIDE,2628,Eden-Monaro,,
NSW,BACK CREEK,2622,Eden-Monaro,,
NSW,BADJA,2630,Eden-Monaro,,
NSW,BALD HILLS,2549,Eden-Monaro,,
NSW,BALLALABA,2622,Eden-Monaro,,
NSW,BANGADANG,2729,Eden-Monaro,,
NSW,BANGO,2582,Eden-Monaro,,
NSW,BARRAGGA BAY,2546,Eden-Monaro,,
NSW,BATLOW,2730,Eden-Monaro,,
NSW,BEAUTY POINT,2546,Eden-Monaro,,WALLAGA LAKE
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BEGA,2550,Eden-Monaro,,
NSW,BELLMOUNT FOREST,2581,Eden-Monaro,,
NSW,BELOKA,2628,Eden-Monaro,,
NSW,BELOWRA,2545,Eden-Monaro,,
NSW,BEMBOKA,2550,Eden-Monaro,,
NSW,BENDOURA,2622,Eden-Monaro,,
NSW,BERLANG,2622,Eden-Monaro,,
NSW,BERMAGUI,2546,Eden-Monaro,,
NSW,BERMAGUI SOUTH,2546,Eden-Monaro,,BERMAGUI
NSW,BERRAMBOOL,2548,Eden-Monaro,,
NSW,BERRIDALE,2628,Eden-Monaro,,
NSW,BIBBENLUKE,2632,Eden-Monaro,,
NSW,BILLILINGRA,2630,Eden-Monaro,,
NSW,BIMBAYA,2550,Eden-Monaro,,TANTAWANGALO
NSW,BIMBERI,2611,Eden-Monaro,,
NSW,BINALONG,2584,Eden-Monaro,,
NSW,BINJURA,2630,Eden-Monaro,,
NSW,BLACK CREEK,2729,Eden-Monaro,,
NSW,BLACK RANGE,2550,Eden-Monaro,,
NSW,BLOWERING,2720,Eden-Monaro,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BOAMBOLO,2582,Eden-Monaro,,
NSW,BOBUNDARA,2630,Eden-Monaro,,
NSW,BOCO,2631,Eden-Monaro,,
NSW,BODALLA,2545,Eden-Monaro,,
NSW,BOGONG PEAKS WILDERNESS,2720,Eden-Monaro,,
NSW,BOLARO,2629,Eden-Monaro,,
NSW,BOMBALA,2632,Eden-Monaro,,
NSW,BOMBAY,2622,Eden-Monaro,,
NSW,BOMBOWLEE,2720,Eden-Monaro,,
NSW,BOMBOWLEE CREEK,2720,Eden-Monaro,,
NSW,BOOKHAM,2582,Eden-Monaro,,
NSW,BORO,2622,Eden-Monaro,,
NSW,BOURNDA,2548,Eden-Monaro,,
NSW,BOWNING,2582,Eden-Monaro,,
NSW,BOYDTOWN,2551,Eden-Monaro,,
NSW,BRAEMAR BAY,2630,Eden-Monaro,,
NSW,BRAIDWOOD,2622,Eden-Monaro,,
NSW,BREDBO,2626,Eden-Monaro,,
NSW,BRINDABELLA,2611,Eden-Monaro,,
NSW,BRINGENBRONG,3707,Eden-Monaro,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BROADWATER,2549,Eden-Monaro,,
NSW,BROGO,2550,Eden-Monaro,,
NSW,BRUNGLE,2722,Eden-Monaro,,
NSW,BRUNGLE CREEK,2722,Eden-Monaro,,
NSW,BUCKAJO,2550,Eden-Monaro,,
NSW,BUCKENDERRA,2630,Eden-Monaro,,
NSW,BUDAWANG,2622,Eden-Monaro,,
NSW,BUKALONG,2632,Eden-Monaro,,
NSW,BUMBALONG,2626,Eden-Monaro,,
NSW,BUNGA,2550,Eden-Monaro,,MURRAH
NSW,BUNGARBY,2630,Eden-Monaro,,
NSW,BUNGENDORE,2621,Eden-Monaro,,
NSW,BUNYAN,2630,Eden-Monaro,,
NSW,BURRA,2620,Eden-Monaro,,
NSW,BURRA,2653,Eden-Monaro,,
NSW,BURRAGATE,2550,Eden-Monaro,,
NSW,BURRINJUCK,2582,Eden-Monaro,,
NSW,BUTMAROO,2621,Eden-Monaro,,BUNGENDORE
NSW,BYADBO WILDERNESS,2628,Eden-Monaro,,
NSW,BYWONG,2621,Eden-Monaro,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,CABRAMURRA,2629,Eden-Monaro,,
NSW,CADGEE,2545,Eden-Monaro,,
NSW,CALIFAT,2729,Eden-Monaro,,
NSW,CAMBALONG,2632,Eden-Monaro,,
NSW,CANDELO,2550,Eden-Monaro,,
NSW,CAPTAINS FLAT,2623,Eden-Monaro,,
NSW,CARLAMINDA,2630,Eden-Monaro,,
NSW,CARWOOLA,2620,Eden-Monaro,,
NSW,CATHCART,2632,Eden-Monaro,,
NSW,CAVAN,2582,Eden-Monaro,,
NSW,CENTRAL TILBA,2546,Eden-Monaro,,
NSW,CHAKOLA,2630,Eden-Monaro,,
NSW,CHARLEYS FOREST,2622,Eden-Monaro,,
NSW,CHARLOTTES PASS,2624,Eden-Monaro,,
NSW,CHINNOCK,2550,Eden-Monaro,,
NSW,CLEAR RANGE,2620,Eden-Monaro,,
NSW,COBARGO,2550,Eden-Monaro,,
NSW,COLINTON,2626,Eden-Monaro,,
NSW,COLLECTOR,2581,Eden-Monaro,,
NSW,COOLAGOLITE,2550,Eden-Monaro,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
