State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALBERTON,4207.0,Fadden,,
QLD,ARUNDEL,4214.0,Fadden,,
QLD,BIGGERA WATERS,4216.0,Fadden,,
QLD,COOMBABAH,4216.0,Fadden,,
QLD,COOMERA,4209.0,Fadden,,
QLD,GAVEN,4211.0,Fadden,,
QLD,GILBERTON,4208.0,Fadden,,
QLD,HELENSVALE,4212.0,Fadden,,
QLD,HOLLYWELL,4216.0,Fadden,,
QLD,HOPE ISLAND,4212.0,Fadden,,
QLD,JACOBS WELL,4208.0,Fadden,,
QLD,LABRADOR,4215.0,Fadden,,
QLD,MAUDSLAND,4210.0,Fadden,,
QLD,NORWELL,4208.0,Fadden,,
QLD,ORMEAU,4208.0,Fadden,,
QLD,OXENFORD,4210.0,Fadden,,
QLD,PACIFIC PINES,4211.0,Fadden,,
QLD,PARADISE POINT,4216.0,Fadden,,
QLD,PARKWOOD,4214.0,Fadden,,
QLD,PIMPAMA,4209.0,Fadden,,
12,12,12.0,12,12.0,12.0
1,2,,,,
QLD,RUNAWAY BAY,4216.0,Fadden,,
QLD,SANCTUARY COVE,4212.0,Fadden,,HOPE ISLAND
QLD,SOUTH STRADBROKE,4216.0,Fadden,,
QLD,SOUTHPORT,4215.0,Fadden,,
QLD,STAPYLTON,4207.0,Fadden,,
QLD,STEIGLITZ,4207.0,Fadden,,
QLD,TABBY TABBY ISLAND,4207.0,Fadden,,
QLD,WOONGOOLBA,4207.0,Fadden,,
12,12,12.0,12,12.0,12
1,2,,,,
