State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALEXANDRA HEADLAND,4572,Fairfax,,
QLD,BELLI PARK,4562,Fairfax,,
QLD,BLI BLI,4560,Fairfax,,
QLD,BRIDGES,4561,Fairfax,,
QLD,BUDERIM,4556,Fairfax,,
QLD,BURNSIDE,4560,Fairfax,,
QLD,COES CREEK,4560,Fairfax,,
QLD,COOLABINE,4574,Fairfax,,
QLD,COOLOOLABIN,4560,Fairfax,,
QLD,COOLUM BEACH,4573,Fairfax,,
QLD,COTTON TREE,4558,Fairfax,,MAROOCHYDORE
QLD,DIDDILLIBAH,4559,Fairfax,,
QLD,DOONAN,4562,Fairfax,,
QLD,DULONG,4560,Fairfax,,
QLD,EERWAH VALE,4562,Fairfax,,
QLD,EUMUNDI,4562,Fairfax,,
QLD,FLAXTON,4560,Fairfax,,
QLD,FOREST GLEN,4556,Fairfax,,
QLD,GHEERULLA,4574,Fairfax,,
QLD,HIGHWORTH,4560,Fairfax,,
123,123,123,123,123.0,123
1,2,3,,,
QLD,IMAGE FLAT,4560,Fairfax,,
QLD,KENILWORTH,4574,Fairfax,,
QLD,KIAMBA,4560,Fairfax,,
QLD,KIDAMAN CREEK,4574,Fairfax,,
QLD,KIELS MOUNTAIN,4559,Fairfax,,
QLD,KULANGOOR,4560,Fairfax,,
QLD,KULUIN,4558,Fairfax,,
QLD,KUNDA PARK,4556,Fairfax,,
QLD,KUREELPA,4560,Fairfax,,
QLD,MAPLETON,4560,Fairfax,,
QLD,MARCOOLA,4564,Fairfax,,
QLD,MAROOCHY RIVER,4561,Fairfax,,
QLD,MAROOCHYDORE,4558,Fairfax,,
QLD,MONS,4556,Fairfax,,
QLD,MOUNT COOLUM,4573,Fairfax,,
QLD,MOUNTAIN CREEK,4557,Fairfax,,
QLD,MUDJIMBA,4564,Fairfax,,
QLD,NAMBOUR,4560,Fairfax,,
QLD,NINDERRY,4561,Fairfax,,
QLD,NORTH ARM,4561,Fairfax,,
123,123,123,123,123.0,123.0
1,2,3,,,
QLD,OBI OBI,4574,Fairfax,,
QLD,PACIFIC PARADISE,4564,Fairfax,,
QLD,PARKLANDS,4560,Fairfax,,
QLD,PEREGIAN BEACH,4573,Fairfax,,
QLD,PEREGIAN SPRINGS,4573,Fairfax,,
QLD,PERWILLOWEN,4560,Fairfax,,
QLD,POINT ARKWRIGHT,4573,Fairfax,,
QLD,ROSEMOUNT,4560,Fairfax,,
QLD,TANAWHA,4556,Fairfax,,
QLD,TOWEN MOUNTAIN,4560,Fairfax,,
QLD,TWIN WATERS,4564,Fairfax,,
QLD,VALDORA,4561,Fairfax,,
QLD,VERRIERDALE,4562,Fairfax,,
QLD,WEST WOOMBYE,4559,Fairfax,,
QLD,WOOMBYE,4559,Fairfax,,
QLD,YANDINA,4561,Fairfax,,
QLD,YANDINA CREEK,4561,Fairfax,,
QLD,YAROOMBA,4573,Fairfax,,
123,123,123,123,123.0,123.0
1,2,3,,,
