State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALEXANDRA HEADLAND,4572,Fisher,,
QLD,AROONA,4551,Fisher,,
QLD,BALD KNOB,4552,Fisher,,
QLD,BALMORAL RIDGE,4552,Fisher,,
QLD,BARINGA,4551,Fisher,,
QLD,BATTERY HILL,4551,Fisher,,
QLD,BEERBURRUM,4517,Fisher,,
QLD,BEERWAH,4519,Fisher,,
QLD,BELLS CREEK,4551,Fisher,,
QLD,BIRTINYA,4575,Fisher,,
QLD,BOKARINA,4575,Fisher,,
QLD,BOOROOBIN,4552,Fisher,,
QLD,BUDDINA,4575,Fisher,,
QLD,BULCOCK BEACH,4551,Fisher,,CALOUNDRA
QLD,CALOUNDRA,4551,Fisher,,
QLD,CALOUNDRA WEST,4551,Fisher,,
QLD,CAMBROON,4552,Fisher,,
QLD,CHANCELLOR PARK,4556,Fisher,,SIPPY DOWNS
QLD,CHEVALLUM,4555,Fisher,,
QLD,CONONDALE,4552,Fisher,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
QLD,COOCHIN CREEK,4519,Fisher,,
QLD,CROHAMHURST,4519,Fisher,,
QLD,CURRAMORE,4552,Fisher,,
QLD,CURRIMUNDI,4551,Fisher,,
QLD,DIAMOND VALLEY,4553,Fisher,,
QLD,DICKY BEACH,4551,Fisher,,
QLD,ELAMAN CREEK,4552,Fisher,,
QLD,EUDLO,4554,Fisher,,
QLD,GLASS HOUSE MOUNTAINS,4518,Fisher,,
QLD,GLENVIEW,4553,Fisher,,
QLD,GOLDEN BEACH,4551,Fisher,,
QLD,HUNCHY,4555,Fisher,,
QLD,ILKLEY,4554,Fisher,,
QLD,KAWANA ISLAND,4575,Fisher,,PARREARRA
QLD,KENILWORTH,4574,Fisher,,
QLD,KIDAMAN CREEK,4574,Fisher,,
QLD,KINGS BEACH,4551,Fisher,,
QLD,LANDERS SHOOT,4555,Fisher,,
QLD,LANDSBOROUGH,4550,Fisher,,
QLD,LITTLE MOUNTAIN,4551,Fisher,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
QLD,MALENY,4552,Fisher,,
QLD,MERIDAN PLAINS,4551,Fisher,,
QLD,MINYAMA,4575,Fisher,,
QLD,MOFFAT BEACH,4551,Fisher,,
QLD,MONTVILLE,4560,Fisher,,
QLD,MOOLOOLABA,4557,Fisher,,
QLD,MOOLOOLAH VALLEY,4553,Fisher,,
QLD,MOUNT MELLUM,4550,Fisher,,
QLD,NIRIMBA,4551,Fisher,,
QLD,NORTH MALENY,4552,Fisher,,
QLD,PALMVIEW,4553,Fisher,,
QLD,PALMWOODS,4555,Fisher,,
QLD,PARREARRA,4575,Fisher,,
QLD,PEACHESTER,4519,Fisher,,
QLD,PELICAN WATERS,4551,Fisher,,
QLD,REESVILLE,4552,Fisher,,
QLD,SHELLY BEACH,4551,Fisher,,
QLD,SIPPY DOWNS,4556,Fisher,,
QLD,TANAWHA,4556,Fisher,,
QLD,WARANA,4575,Fisher,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
QLD,WEST WOOMBYE,4559,Fisher,,
QLD,WITTA,4552,Fisher,,
QLD,WOOTHA,4552,Fisher,,
QLD,WURTULLA,4575,Fisher,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
