State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ARTHURS SEAT,3936,Flinders,,
VIC,BALNARRING,3926,Flinders,,
VIC,BALNARRING BEACH,3926,Flinders,,
VIC,BAXTER,3911,Flinders,,
VIC,BITTERN,3918,Flinders,,
VIC,BLAIRGOWRIE,3942,Flinders,,
VIC,BONEO,3939,Flinders,,
VIC,CAPE SCHANCK,3939,Flinders,,
VIC,CAPEL SOUND,3940,Flinders,,
VIC,CRIB POINT,3919,Flinders,,
VIC,DROMANA,3936,Flinders,,
VIC,ELIZABETH ISLAND,3921,Flinders,,
VIC,FINGAL,3939,Flinders,,
VIC,FLINDERS,3929,Flinders,,
VIC,FRENCH ISLAND,3921,Flinders,,
VIC,HASTINGS,3915,Flinders,,
VIC,HMAS CERBERUS,3920,Flinders,,
VIC,MAIN RIDGE,3928,Flinders,,
VIC,MCCRAE,3938,Flinders,,
VIC,MERRICKS,3916,Flinders,,
123,123,123,123,123.0,123.0
1,2,3,,,
VIC,MERRICKS BEACH,3926,Flinders,,
VIC,MERRICKS NORTH,3926,Flinders,,
VIC,MOOROODUC,3933,Flinders,,
VIC,MORNINGTON,3931,Flinders,,
VIC,MOUNT MARTHA,3934,Flinders,,
VIC,MT MARTHA,3934,Flinders,,MOUNT MARTHA
VIC,PEARCEDALE,3912,Flinders,,
VIC,POINT LEO,3916,Flinders,,
VIC,PORTSEA,3944,Flinders,,
VIC,RED HILL,3937,Flinders,,
VIC,RED HILL SOUTH,3937,Flinders,,
VIC,ROSEBUD,3939,Flinders,,
VIC,ROSEBUD SOUTH,3939,Flinders,,ROSEBUD
VIC,ROSEBUD WEST,3940,Flinders,,CAPEL SOUND
VIC,RYE,3941,Flinders,,
VIC,SAFETY BEACH,3936,Flinders,,
VIC,SHOREHAM,3916,Flinders,,
VIC,SOMERS,3927,Flinders,,
VIC,SOMERVILLE,3912,Flinders,,
VIC,SORRENTO,3943,Flinders,,
123,123,123,123,123.0,123
1,2,3,,,
VIC,ST ANDREWS BEACH,3941,Flinders,,
VIC,STONY POINT,3919,Flinders,,CRIB POINT
VIC,TOOTGAROOK,3941,Flinders,,
VIC,TUERONG,3915,Flinders,,
VIC,TYABB,3913,Flinders,,
123,123,123,123,123.0,123
1,2,3,,,
