State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ABBA RIVER,6280,Forrest,,
WA,ABBEY,6280,Forrest,,
WA,ACTON PARK,6280,Forrest,,
WA,ALEXANDRA BRIDGE,6288,Forrest,,
WA,AMBERGATE,6280,Forrest,,
WA,ANNIEBROOK,6280,Forrest,,
WA,ARGYLE,6239,Forrest,,
WA,AUGUSTA,6290,Forrest,,
WA,AUSTRALIND,6233,Forrest,,
WA,BALINGUP,6253,Forrest,,
WA,BARRABUP,6275,Forrest,,
WA,BEELA,6224,Forrest,,
WA,BEELERUP,6239,Forrest,,
WA,BENGER,6223,Forrest,,
WA,BIDDELIA,6260,Forrest,,
WA,BINNINGUP,6233,Forrest,,
WA,BOALLIA,6280,Forrest,,
WA,BORANUP,6286,Forrest,,
WA,BOVELL,6280,Forrest,,
WA,BOYANUP,6237,Forrest,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,BRAMLEY,6285,Forrest,,
WA,BRAZIER,6251,Forrest,,
WA,BROADWATER,6280,Forrest,,
WA,BROOKHAMPTON,6239,Forrest,,
WA,BRUNSWICK,6224,Forrest,,
WA,BUNBURY,6230,Forrest,,
WA,BUREKUP,6227,Forrest,,
WA,BURNSIDE,6285,Forrest,,
WA,BUSSELTON,6280,Forrest,,
WA,CAPEL,6271,Forrest,,
WA,CAPEL RIVER,6271,Forrest,,
WA,CARBUNUP RIVER,6280,Forrest,,
WA,CAREY PARK,6230,Forrest,,
WA,CARLOTTA,6275,Forrest,,
WA,CHAPMAN HILL,6280,Forrest,,
WA,CHARLEY CREEK,6239,Forrest,,
WA,CLIFTON PARK,6233,Forrest,,AUSTRALIND
WA,COLLEGE GROVE,6230,Forrest,,
WA,COOKERNUP,6219,Forrest,,
WA,COURTENAY,6288,Forrest,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,COWARAMUP,6284,Forrest,,
WA,CROOKED BROOK,6236,Forrest,,
WA,CUNDINUP,6275,Forrest,,
WA,DALYELLUP,6230,Forrest,,
WA,DARDANUP,6236,Forrest,,
WA,DARDANUP WEST,6236,Forrest,,
WA,DARRADUP,6275,Forrest,,
WA,DAVENPORT,6230,Forrest,,
WA,DEEPDENE,6290,Forrest,,
WA,DONNELLY RIVER,6258,Forrest,,
WA,DONNYBROOK,6239,Forrest,,
WA,DUNSBOROUGH,6281,Forrest,,
WA,EAGLE BAY,6281,Forrest,,
WA,EAST AUGUSTA,6290,Forrest,,
WA,EAST BUNBURY,6230,Forrest,,
WA,EAST NANNUP,6275,Forrest,,
WA,EATON,6232,Forrest,,
WA,ELGIN,6237,Forrest,,
WA,FERGUSON,6236,Forrest,,
WA,FOREST GROVE,6286,Forrest,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,FORREST BEACH,6271,Forrest,,
WA,GELORUP,6230,Forrest,,
WA,GEOGRAPHE,6280,Forrest,,
WA,GLEN IRIS,6230,Forrest,,
WA,GLEN MERVYN,6239,Forrest,,
WA,GNARABUP,6285,Forrest,,
WA,GRACETOWN,6284,Forrest,,
WA,GRIMWADE,6253,Forrest,,
WA,GWINDINUP,6237,Forrest,,
WA,HAMELIN BAY,6288,Forrest,,
WA,HARVEY,6220,Forrest,,
WA,HENTY,6236,Forrest,,
WA,HITHERGREEN,6280,Forrest,,
WA,HOFFMAN,6220,Forrest,,
WA,JALBARRAGUP,6275,Forrest,,
WA,JARRAHWOOD,6275,Forrest,,
WA,JINDONG,6280,Forrest,,
WA,KALGUP,6280,Forrest,,
WA,KALOORUP,6280,Forrest,,
WA,KARRIDALE,6288,Forrest,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,KEALY,6280,Forrest,,
WA,KINGSTON,6233,Forrest,,AUSTRALIND
WA,KIRUP,6251,Forrest,,
WA,KUDARDUP,6290,Forrest,,
WA,LAKE JASPER,6260,Forrest,,
WA,LEEUWIN,6290,Forrest,,
WA,LESCHENAULT,6233,Forrest,,
WA,LOWDEN,6240,Forrest,,
WA,LUDLOW,6280,Forrest,,
WA,MARGARET RIVER,6285,Forrest,,
WA,MARYBROOK,6280,Forrest,,
WA,METRICUP,6280,Forrest,,
WA,MILLBRIDGE,6232,Forrest,,
WA,MOLLOY ISLAND,6290,Forrest,,
WA,MORNINGTON,6221,Forrest,,
WA,MULLALYUP,6252,Forrest,,
WA,MUMBALLUP,6225,Forrest,,
WA,MYALUP,6220,Forrest,,
WA,NANNUP,6275,Forrest,,
WA,NATURALISTE,6281,Forrest,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
