State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ABELS BAY,7112,Franklin,,
TAS,ACTON PARK,7170,Franklin,,
TAS,ADVENTURE BAY,7150,Franklin,,
TAS,ALLENS RIVULET,7150,Franklin,,
TAS,ALONNAH,7150,Franklin,,
TAS,APOLLO BAY,7150,Franklin,,
TAS,BARNES BAY,7150,Franklin,,
TAS,BARRETTA,7054,Franklin,,
TAS,BELLERIVE,7018,Franklin,,
TAS,BIRCHS BAY,7162,Franklin,,
TAS,BLACKMANS BAY,7052,Franklin,,
TAS,BROOKS BAY,7116,Franklin,,
TAS,CAIRNS BAY,7116,Franklin,,
TAS,CAMBRIDGE,7170,Franklin,,
TAS,CASTLE FORBES BAY,7116,Franklin,,
TAS,CHARLOTTE COVE,7112,Franklin,,
TAS,CLARENDON VALE,7019,Franklin,,
TAS,CLIFTON BEACH,7020,Franklin,,
TAS,CONINGHAM,7054,Franklin,,
TAS,CRABTREE,7109,Franklin,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,CRADOC,7109,Franklin,,
TAS,CREMORNE,7024,Franklin,,
TAS,CYGNET,7112,Franklin,,
TAS,DEEP BAY,7112,Franklin,,
TAS,DENNES POINT,7150,Franklin,,
TAS,DOVER,7117,Franklin,,
TAS,DULCOT,7025,Franklin,,
TAS,EGGS AND BACON BAY,7112,Franklin,,
TAS,ELECTRONA,7054,Franklin,,
TAS,FLOWERPOT,7163,Franklin,,
TAS,FRANKLIN,7113,Franklin,,
TAS,GARDEN ISLAND CREEK,7112,Franklin,,
TAS,GARDNERS BAY,7112,Franklin,,
TAS,GEEVESTON,7116,Franklin,,
TAS,GEILSTON BAY,7015,Franklin,,
TAS,GLAZIERS BAY,7109,Franklin,,
TAS,GLEN HUON,7109,Franklin,,
TAS,GLENDEVIE,7109,Franklin,,
TAS,GORDON,7150,Franklin,,
TAS,GRASSTREE HILL,7017,Franklin,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,GREAT BAY,7150,Franklin,,
TAS,GROVE,7109,Franklin,,
TAS,HASTINGS,7109,Franklin,,
TAS,HOWDEN,7054,Franklin,,
TAS,HOWRAH,7018,Franklin,,
TAS,HUNTINGFIELD,7055,Franklin,,
TAS,HUON ISLAND,7112,Franklin,,
TAS,HUONVILLE,7109,Franklin,,
TAS,IDA BAY,7109,Franklin,,
TAS,JUDBURY,7109,Franklin,,
TAS,KAOOTA,7150,Franklin,,
TAS,KETTERING,7155,Franklin,,
TAS,KILLORA,7150,Franklin,,
TAS,KINGSTON,7050,Franklin,,
TAS,KINGSTON BEACH,7050,Franklin,,
TAS,LAUDERDALE,7021,Franklin,,
TAS,LESLIE VALE,7054,Franklin,,
TAS,LINDISFARNE,7015,Franklin,,
TAS,LONNAVALE,7109,Franklin,,
TAS,LOWER LONGLEY,7109,Franklin,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,LOWER SNUG,7054,Franklin,,
TAS,LOWER WATTLE GROVE,7109,Franklin,,
TAS,LUCASTON,7109,Franklin,,
TAS,LUNAWANNA,7150,Franklin,,
TAS,LUNE RIVER,7109,Franklin,,
TAS,LYMINGTON,7109,Franklin,,
TAS,MARGATE,7054,Franklin,,
TAS,MIDDLETON,7163,Franklin,,
TAS,MONTAGU BAY,7018,Franklin,,
TAS,MORNINGTON,7018,Franklin,,
TAS,MOUNT RUMNEY,7170,Franklin,,
TAS,MOUNTAIN RIVER,7109,Franklin,,
TAS,NICHOLLS RIVULET,7112,Franklin,,
TAS,NORTH BRUNY,7150,Franklin,,
TAS,OAKDOWNS,7019,Franklin,,
TAS,OPOSSUM BAY,7023,Franklin,,
TAS,OTAGO,7017,Franklin,,
TAS,OYSTER COVE,7150,Franklin,,
TAS,PELVERATA,7150,Franklin,,
TAS,PETCHEYS BAY,7109,Franklin,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,POLICE POINT,7116,Franklin,,
TAS,PORT HUON,7116,Franklin,,
TAS,RAMINEA,7109,Franklin,,
TAS,RANDALLS BAY,7112,Franklin,,
TAS,RANELAGH,7109,Franklin,,
TAS,RECHERCHE,7109,Franklin,,
TAS,RICHMOND,7025,Franklin,,
TAS,RISDON,7017,Franklin,,
TAS,RISDON VALE,7016,Franklin,,
TAS,ROCHES BEACH,7170,Franklin,,
TAS,ROKEBY,7019,Franklin,,
TAS,ROSE BAY,7015,Franklin,,
TAS,ROSNY,7018,Franklin,,
TAS,ROSNY PARK,7018,Franklin,,
TAS,SANDFLY,7150,Franklin,,
TAS,SANDFORD,7020,Franklin,,
