State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALBION,3020.0,Fraser,,
VIC,ARDEER,3022.0,Fraser,,
VIC,BRAYBROOK,3019.0,Fraser,,
VIC,BROOKLYN,3012.0,Fraser,,
VIC,CAIRNLEA,3023.0,Fraser,,
VIC,DEER PARK,3023.0,Fraser,,
VIC,DEER PARK NORTH,3023.0,Fraser,,DEER PARK
VIC,DELAHEY,3037.0,Fraser,,
VIC,DERRIMUT,3026.0,Fraser,,
VIC,KEALBA,3021.0,Fraser,,
VIC,KEILOR,3036.0,Fraser,,
VIC,KEILOR DOWNS,3038.0,Fraser,,
VIC,KEILOR LODGE,3038.0,Fraser,,
VIC,KEILOR NORTH,3036.0,Fraser,,
VIC,KINGS PARK,3021.0,Fraser,,
VIC,ST ALBANS,3021.0,Fraser,,
VIC,SUNSHINE,3020.0,Fraser,,
VIC,SUNSHINE NORTH,3020.0,Fraser,,
VIC,SUNSHINE WEST,3020.0,Fraser,,
VIC,SYDENHAM,3037.0,Fraser,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,TAYLORS LAKES,3038.0,Fraser,,
VIC,TOTTENHAM,3012.0,Fraser,,
12,12,12.0,12,12.0,12.0
1,2,,,,
