State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ATWELL,6164.0,Fremantle,,
WA,AUBIN GROVE,6164.0,Fremantle,,
WA,BANJUP,6164.0,Fremantle,,
WA,BEACONSFIELD,6162.0,Fremantle,,
WA,BEELIAR,6164.0,Fremantle,,
WA,BIBRA LAKE,6163.0,Fremantle,,
WA,COCKBURN CENTRAL,6164.0,Fremantle,,
WA,COOGEE,6166.0,Fremantle,,
WA,COOLBELLUP,6163.0,Fremantle,,
WA,EAST FREMANTLE,6158.0,Fremantle,,
WA,FREMANTLE,6160.0,Fremantle,,
WA,HAMILTON HILL,6163.0,Fremantle,,
WA,HAMMOND PARK,6164.0,Fremantle,,
WA,HENDERSON,6166.0,Fremantle,,
WA,HILBERT,6112.0,Fremantle,,
WA,HILTON,6163.0,Fremantle,,
WA,JANDAKOT,6164.0,Fremantle,,
WA,KARDINYA,6163.0,Fremantle,,
WA,LAKE COOGEE,6166.0,Fremantle,,
WA,MUNSTER,6166.0,Fremantle,,
12,12,12.0,12,12.0,12.0
1,2,,,,
WA,NORTH COOGEE,6163.0,Fremantle,,
WA,NORTH FREMANTLE,6159.0,Fremantle,,
WA,NORTH LAKE,6163.0,Fremantle,,
WA,O'CONNOR,6163.0,Fremantle,,
WA,PALMYRA,6157.0,Fremantle,,
WA,ROTTNEST ISLAND,6161.0,Fremantle,,
WA,SAMSON,6163.0,Fremantle,,
WA,SOUTH FREMANTLE,6162.0,Fremantle,,
WA,SOUTH LAKE,6164.0,Fremantle,,
WA,SPEARWOOD,6163.0,Fremantle,,
WA,SUCCESS,6164.0,Fremantle,,
WA,TREEBY,6164.0,Fremantle,,
WA,WATTLEUP,6166.0,Fremantle,,
WA,WHITE GUM VALLEY,6162.0,Fremantle,,
WA,YANGEBUP,6164.0,Fremantle,,
12,12,12.0,12,12.0,12.0
1,2,,,,
