State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALTONA,3018.0,Gellibrand,,
VIC,ALTONA EAST,3025.0,Gellibrand,,ALTONA NORTH
VIC,ALTONA GATE,3025.0,Gellibrand,,ALTONA NORTH
VIC,ALTONA MEADOWS,3028.0,Gellibrand,,
VIC,ALTONA NORTH,3025.0,Gellibrand,,
VIC,BROOKLYN,3012.0,Gellibrand,,
VIC,FOOTSCRAY,3011.0,Gellibrand,,
VIC,KINGSVILLE,3012.0,Gellibrand,,
VIC,KINGSVILLE WEST,3013.0,Gellibrand,,SPOTSWOOD
VIC,LAVERTON,3028.0,Gellibrand,,
VIC,LAVERTON NORTH,3026.0,Gellibrand,,
VIC,LAVERTON RAAF,3027.0,Gellibrand,,LAVERTON
VIC,LAVERTON SOUTH,3028.0,Gellibrand,,ALTONA MEADOWS
VIC,NEWPORT,3015.0,Gellibrand,,
VIC,POINT COOK,3030.0,Gellibrand,,
VIC,POINT COOK RAAF,3027.0,Gellibrand,,POINT COOK
VIC,SANCTUARY LAKES,3030.0,Gellibrand,,POINT COOK
VIC,SEABROOK,3028.0,Gellibrand,,
VIC,SEAHOLME,3018.0,Gellibrand,,
VIC,SEDDON,3011.0,Gellibrand,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,SOUTH KINGSVILLE,3015.0,Gellibrand,,
VIC,SPOTSWOOD,3015.0,Gellibrand,,
VIC,WEST FOOTSCRAY,3012.0,Gellibrand,,
VIC,WESTERN GARDENS,3028.0,Gellibrand,,SEABROOK
VIC,WILLIAMS LANDING,3027.0,Gellibrand,,
VIC,WILLIAMSTOWN,3016.0,Gellibrand,,
VIC,WILLIAMSTOWN NORTH,3016.0,Gellibrand,,
VIC,YARRAVILLE,3013.0,Gellibrand,,
12,12,12.0,12,12.0,12
1,2,,,,
