State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ANNANDALE,2038.0,Grayndler,,
NSW,ASHFIELD,2131.0,Grayndler,,
NSW,BALMAIN,2041.0,Grayndler,,
NSW,BALMAIN EAST,2041.0,Grayndler,,
NSW,BIRCHGROVE,2041.0,Grayndler,,
NSW,CAMPERDOWN,2050.0,Grayndler,,
NSW,CANTERBURY,2193.0,Grayndler,,
NSW,COCKATOO ISLAND,2000.0,Grayndler,,SYDNEY
NSW,DOBROYD POINT,2045.0,Grayndler,,HABERFIELD
NSW,DRUMMOYNE,2047.0,Grayndler,,
NSW,DULWICH HILL,2203.0,Grayndler,,
NSW,ENMORE,2042.0,Grayndler,,
NSW,HABERFIELD,2045.0,Grayndler,,
NSW,HURLSTONE PARK,2193.0,Grayndler,,
NSW,LEICHHARDT,2040.0,Grayndler,,
NSW,LEWISHAM,2049.0,Grayndler,,
NSW,LILYFIELD,2040.0,Grayndler,,
NSW,MACDONALDTOWN,2042.0,Grayndler,,NEWTOWN
NSW,MARRICKVILLE,2204.0,Grayndler,,
NSW,NEWTOWN,2042.0,Grayndler,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,PETERSHAM,2049.0,Grayndler,,
NSW,RODD ISLAND,2047.0,Grayndler,,
NSW,ROZELLE,2039.0,Grayndler,,
NSW,SPECTACLE ISLAND,2047.0,Grayndler,,DRUMMOYNE
NSW,ST PETERS,2044.0,Grayndler,,
NSW,STANMORE,2048.0,Grayndler,,
NSW,SUMMER HILL,2130.0,Grayndler,,
NSW,SYDENHAM,2044.0,Grayndler,,
NSW,SYDNEY,2000.0,Grayndler,,
12,12,12.0,12,12.0,12
1,2,,,,
