State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ACACIA GARDENS,2763,Greenway,,
NSW,BLACKTOWN,2148,Greenway,,
NSW,GIRRAWEEN,2145,Greenway,,
NSW,GLENWOOD,2768,Greenway,,
NSW,KELLYVILLE RIDGE,2155,Greenway,,
NSW,KINGS LANGLEY,2147,Greenway,,
NSW,KINGS PARK,2148,Greenway,,
NSW,LALOR PARK,2147,Greenway,,
NSW,PARKLEA,2768,Greenway,,
NSW,PENDLE HILL,2145,Greenway,,
NSW,PROSPECT,2148,Greenway,,
NSW,QUAKERS HILL,2763,Greenway,,
NSW,RIVERSTONE,2765,Greenway,,
NSW,ROUSE HILL,2155,Greenway,,
NSW,SCHOFIELDS,2762,Greenway,,
NSW,SEVEN HILLS,2147,Greenway,,
NSW,STANHOPE GARDENS,2768,Greenway,,
NSW,THE PONDS,2769,Greenway,,
NSW,TOONGABBIE,2146,Greenway,,
NSW,VINEYARD,2765,Greenway,,
