State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,BALMORAL,4171.0,Griffith,,
QLD,BULIMBA,4171.0,Griffith,,
QLD,CAMP HILL,4152.0,Griffith,,
QLD,CANNON HILL,4170.0,Griffith,,
QLD,CARINA,4152.0,Griffith,,
QLD,CARINA HEIGHTS,4152.0,Griffith,,
QLD,COORPAROO,4151.0,Griffith,,
QLD,DUTTON PARK,4102.0,Griffith,,
QLD,EAST BRISBANE,4169.0,Griffith,,
QLD,GREENSLOPES,4120.0,Griffith,,
QLD,HAWTHORNE,4171.0,Griffith,,
QLD,HIGHGATE HILL,4101.0,Griffith,,
QLD,HILL END,4101.0,Griffith,,WEST END
QLD,HOLLAND PARK,4121.0,Griffith,,
QLD,HOLLAND PARK WEST,4121.0,Griffith,,
QLD,KANGAROO POINT,4169.0,Griffith,,
QLD,MORNINGSIDE,4170.0,Griffith,,
QLD,MOUNT GRAVATT EAST,4122.0,Griffith,,
QLD,MURARRIE,4172.0,Griffith,,
QLD,NORMAN PARK,4170.0,Griffith,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,SEVEN HILLS,4170.0,Griffith,,
QLD,SOUTH BANK,4101.0,Griffith,,SOUTH BRISBANE
QLD,SOUTH BRISBANE,4101.0,Griffith,,
QLD,STONES CORNER,4120.0,Griffith,,
QLD,WEST END,4101.0,Griffith,,
QLD,WOOLLOONGABBA,4102.0,Griffith,,
12,12,12.0,12,12.0,12
1,2,,,,
