State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ACLAND,4401,Groom,,
QLD,ASCOT,4359,Groom,,
QLD,ATHOL,4350,Groom,,
QLD,AUBIGNY,4401,Groom,,
QLD,BALGOWAN,4401,Groom,,
QLD,BERGEN,4353,Groom,,
QLD,BIDDESTON,4401,Groom,,
QLD,BIRNAM,4352,Groom,,
QLD,BLUE MOUNTAIN HEIGHTS,4350,Groom,,
QLD,BONGEEN,4356,Groom,,
QLD,BOODUA,4401,Groom,,
QLD,BOWENVILLE,4404,Groom,,
QLD,BRANCHVIEW,4352,Groom,,
QLD,BROOKSTEAD,4364,Groom,,
QLD,BROXBURN,4356,Groom,,
QLD,BRYMAROO,4403,Groom,,
QLD,BUDGEE,4359,Groom,,
QLD,CABARLAH,4352,Groom,,
QLD,CAMBOOYA,4358,Groom,,
QLD,CAWDOR,4352,Groom,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CECIL PLAINS,4407,Groom,,
QLD,CENTENARY HEIGHTS,4350,Groom,,
QLD,CHARLTON,4350,Groom,,
QLD,COTSWOLD HILLS,4350,Groom,,
QLD,CRANLEY,4350,Groom,,
QLD,CUTELLA,4352,Groom,,
QLD,DARLING HEIGHTS,4350,Groom,,
QLD,DEVON PARK,4401,Groom,,
QLD,DOCTOR CREEK,4352,Groom,,
QLD,DOUGLAS,4354,Groom,,
QLD,DRAYTON,4350,Groom,,
QLD,EAST GREENMOUNT,4359,Groom,,
QLD,EAST TOOWOOMBA,4350,Groom,,
QLD,EVANSLEA,4356,Groom,,
QLD,EVERGREEN,4352,Groom,,
QLD,FELTON,4358,Groom,,
QLD,FINNIE,4350,Groom,,
QLD,FORMARTIN,4404,Groom,,
QLD,GEHAM,4352,Groom,,
QLD,GLENCOE,4352,Groom,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,GLENVALE,4350,Groom,,
QLD,GOOMBUNGEE,4354,Groom,,
QLD,GOWRIE JUNCTION,4352,Groom,,
QLD,GOWRIE LITTLE PLAIN,4352,Groom,,
QLD,GOWRIE MOUNTAIN,4350,Groom,,
QLD,GRASSDALE,4405,Groom,,
QLD,GREENMOUNT,4359,Groom,,
QLD,GREENWOOD,4401,Groom,,
QLD,GROOMSVILLE,4352,Groom,,
QLD,HADEN,4353,Groom,,
QLD,HAMPTON,4352,Groom,,
QLD,HARLAXTON,4350,Groom,,
QLD,HARRISTOWN,4350,Groom,,
QLD,HIGHFIELDS,4352,Groom,,
QLD,HIGHGROVE,4352,Groom,,
QLD,HIGHLAND PLAINS,4401,Groom,,
QLD,HIRSTGLEN,4359,Groom,,
QLD,HODGSON VALE,4352,Groom,,
QLD,IRONGATE,4356,Groom,,
QLD,IRVINGDALE,4404,Groom,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,JONDARYAN,4403,Groom,,
QLD,KEARNEYS SPRING,4350,Groom,,
QLD,KELVINHAUGH,4401,Groom,,
QLD,KILBIRNIE,4354,Groom,,
QLD,KINCORA,4356,Groom,,
QLD,KINGS SIDING,4401,Groom,,
QLD,KINGSTHORPE,4400,Groom,,
QLD,KLEINTON,4352,Groom,,
QLD,KULPI,4352,Groom,,
QLD,LILYVALE,4352,Groom,,
QLD,LINTHORPE,4356,Groom,,
QLD,MACLAGAN,4352,Groom,,
QLD,MALLING,4352,Groom,,
QLD,MALU,4403,Groom,,
QLD,MERINGANDAN,4352,Groom,,
QLD,MERINGANDAN WEST,4352,Groom,,
QLD,MERRITTS CREEK,4352,Groom,,
QLD,MIDDLE RIDGE,4350,Groom,,
QLD,MOTLEY,4356,Groom,,
QLD,MOUNT DARRY,4352,Groom,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,MOUNT IRVING,4401,Groom,,
QLD,MOUNT KYNOCH,4350,Groom,,
QLD,MOUNT LOFTY,4350,Groom,,
QLD,MOUNT LUKE,4352,Groom,,
QLD,MOUNT MORIAH,4403,Groom,,
QLD,MOUNT RASCAL,4350,Groom,,
QLD,MOUNT TYSON,4356,Groom,,
QLD,MULDU,4401,Groom,,
QLD,MUNIGANEEN,4352,Groom,,
QLD,NANGWEE,4407,Groom,,
QLD,NARKO,4352,Groom,,
QLD,NEWTOWN,4350,Groom,,
QLD,NOBBY,4360,Groom,,
QLD,NORTH BRANCH,4356,Groom,,
QLD,NORTH MACLAGAN,4352,Groom,,
QLD,NORTH TOOWOOMBA,4350,Groom,,
QLD,NORWIN,4356,Groom,,
QLD,NUTGROVE,4352,Groom,,
QLD,OAKEY,4401,Groom,,
QLD,PECHEY,4352,Groom,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
