State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,BAILUP,6082,Hasluck,,
WA,BECKENHAM,6107,Hasluck,,
WA,BEECHINA,6556,Hasluck,,
WA,BELLEVUE,6056,Hasluck,,
WA,BICKLEY,6076,Hasluck,,
WA,BOYA,6056,Hasluck,,
WA,BUSHMEAD,6055,Hasluck,,
WA,CAVERSHAM,6055,Hasluck,,
WA,CHIDLOW,6556,Hasluck,,
WA,DARLINGTON,6070,Hasluck,,
WA,FORRESTFIELD,6058,Hasluck,,
WA,GIDGEGANNUP,6083,Hasluck,,
WA,GLEN FORREST,6071,Hasluck,,
WA,GOOSEBERRY HILL,6076,Hasluck,,
WA,GORRIE,6556,Hasluck,,
WA,GREENMOUNT,6056,Hasluck,,
WA,GUILDFORD,6055,Hasluck,,
WA,HACKETTS GULLY,6076,Hasluck,,
WA,HAZELMERE,6055,Hasluck,,
WA,HELENA VALLEY,6056,Hasluck,,
123,123,123,123,123.0,123.0
1,2,3,,,
WA,HOVEA,6071,Hasluck,,
WA,JANE BROOK,6056,Hasluck,,
WA,KALAMUNDA,6076,Hasluck,,
WA,KENWICK,6107,Hasluck,,
WA,KOONGAMIA,6056,Hasluck,,
WA,LESMURDIE,6076,Hasluck,,
WA,MADDINGTON,6109,Hasluck,,
WA,MAHOGANY CREEK,6072,Hasluck,,
WA,MAIDA VALE,6057,Hasluck,,
WA,MALMALLING,6556,Hasluck,,
WA,MIDDLE SWAN,6056,Hasluck,,
WA,MIDLAND,6056,Hasluck,,
WA,MIDVALE,6056,Hasluck,,
WA,MT HELENA,6082,Hasluck,,
WA,MUNDARING,6073,Hasluck,,
WA,PARKERVILLE,6081,Hasluck,,
WA,PAULLS VALLEY,6076,Hasluck,,
WA,PIESSE BROOK,6076,Hasluck,,
WA,RED HILL,6056,Hasluck,,
WA,RESERVOIR,6076,Hasluck,,
123,123,123,123,123.0,123.0
1,2,3,,,
WA,SAWYERS VALLEY,6074,Hasluck,,
WA,SOUTH GUILDFORD,6055,Hasluck,,
WA,STONEVILLE,6081,Hasluck,,
WA,STRATTON,6056,Hasluck,,
WA,SWAN VIEW,6056,Hasluck,,
WA,THE LAKES,6556,Hasluck,,
WA,VIVEASH,6056,Hasluck,,
WA,WALLISTON,6076,Hasluck,,
WA,WATTLE GROVE,6107,Hasluck,,
WA,WELSHPOOL,6106,Hasluck,,
WA,WOODBRIDGE,6056,Hasluck,,
WA,WOOROLOO,6558,Hasluck,,
123,123,123,123,123.0,123.0
1,2,3,,,
