State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,AITKENVALE,4814,Herbert,,
QLD,ARCADIA,4819,Herbert,,
QLD,BEACH HOLM,4818,Herbert,,
QLD,BELGIAN GARDENS,4810,Herbert,,
QLD,BLACK RIVER,4818,Herbert,,
QLD,BLACK RIVER BEACH,4818,Herbert,,BEACH HOLM
QLD,BLUE HILLS,4818,Herbert,,
QLD,BLUEWATER,4818,Herbert,,
QLD,BLUEWATER BEACH,4818,Herbert,,BLUEWATER
QLD,BLUEWATER PARK,4818,Herbert,,
QLD,BOHLE,4818,Herbert,,
QLD,BOHLE PLAINS,4817,Herbert,,
QLD,BOHLEVALE,4818,Herbert,,DEERAGUN
QLD,BURDELL,4818,Herbert,,
QLD,BUSHLAND BEACH,4818,Herbert,,
QLD,CASTLE HILL,4810,Herbert,,
QLD,COBARRA,4818,Herbert,,YABULU
QLD,CONDON,4815,Herbert,,
QLD,CORDELIA ESTATE,4818,Herbert,,JENSEN
QLD,COSGROVE,4818,Herbert,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
QLD,CRANBROOK,4814,Herbert,,
QLD,CURRAJONG,4812,Herbert,,
QLD,DEERAGUN,4818,Herbert,,
QLD,DOUGLAS,4814,Herbert,,
QLD,FLORENCE BAY,4819,Herbert,,
QLD,GARBUTT,4814,Herbert,,
QLD,GULLIVER,4812,Herbert,,
QLD,HEATLEY,4814,Herbert,,
QLD,HERMIT PARK,4812,Herbert,,
QLD,HERVEY RANGE,4817,Herbert,,
QLD,HORSESHOE BAY,4819,Herbert,,
QLD,HYDE PARK,4812,Herbert,,
QLD,INNES ESTATE,4818,Herbert,,DEERAGUN
QLD,JAMES COOK UNIVERSITY,4811,Herbert,,
QLD,JENSEN,4818,Herbert,,
QLD,KELSO,4815,Herbert,,
QLD,KIRWAN,4817,Herbert,,
QLD,LAVARACK BARRACKS,4813,Herbert,,TOWNSVILLE MILPO
QLD,LYNAM,4818,Herbert,,
QLD,MOUNT LOUISA,4814,Herbert,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
QLD,MOUNT LOW,4818,Herbert,,
QLD,MOUNT ST JOHN,4818,Herbert,,
QLD,MOUNT STUART,4811,Herbert,,
QLD,MUNDINGBURRA,4812,Herbert,,
QLD,MYSTERTON,4812,Herbert,,
QLD,NELLY BAY,4819,Herbert,,
QLD,NORTH WARD,4810,Herbert,,
QLD,ORPHEUS ISLAND,4816,Herbert,,
QLD,PALLARENDA,4810,Herbert,,
QLD,PALM ISLAND,4816,Herbert,,
QLD,PELORUS ISLAND,4850,Herbert,,
QLD,PICNIC BAY,4819,Herbert,,
QLD,PIMLICO,4812,Herbert,,
QLD,PURONO PARK,4818,Herbert,,YABULU
QLD,RAAF BASE GARBUTT,4814,Herbert,,GARBUTT
QLD,RAILWAY ESTATE,4810,Herbert,,
QLD,RANGEWOOD,4817,Herbert,,
QLD,RASMUSSEN,4815,Herbert,,
QLD,ROSSLEA,4812,Herbert,,
QLD,ROWES BAY,4810,Herbert,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
QLD,SAUNDERS BEACH,4818,Herbert,,
QLD,SHAW,4818,Herbert,,
QLD,SLEEPER LOG CREEK,4816,Herbert,,BLUEWATER
QLD,SOUTH TOWNSVILLE,4810,Herbert,,
QLD,THURINGOWA CENTRAL,4817,Herbert,,
QLD,TOOLAKEA,4818,Herbert,,
QLD,TOWN COMMON,4810,Herbert,,
QLD,TOWNSVILLE CITY,4810,Herbert,,
QLD,TOWNSVILLE MILPO,4813,Herbert,,
QLD,VINCENT,4814,Herbert,,
QLD,WEST END,4810,Herbert,,
QLD,WEST POINT,4819,Herbert,,
QLD,YABULU,4818,Herbert,,
QLD,YARRAWONGA,4810,Herbert,,CASTLE HILL
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
